date,tube,loc,reason,notes
2011-08-05,1,15,blur,
2011-08-05,1,20,blur,
2011-08-05,1,60,blur,
2011-08-05,1,100,blur,
2011-08-05,2,45,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,2,50,blur,
2011-08-05,2,60,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,3,100,blur,
2011-08-05,4,10,blur,
2011-08-05,4,35,blur,
2011-08-05,5,10,blur,
2011-08-05,5,40,blur,
2011-08-05,5,60,blur,
2011-08-05,6,10,blur,
2011-08-05,7,45,blur,
2011-08-05,8,10,blur,
2011-08-05,8,85,blur,
2011-08-05,10,10,blur,
2011-08-05,10,15,blur,
2011-08-05,11,15,blur,
2011-08-05,11,20,blur,
2011-08-05,12,10,blur,
2011-08-05,12,85,blur,
2011-08-05,12,90,blur,
2011-08-05,13,10,blur,
2011-08-05,13,50,blur,
2011-08-05,13,95,blur,
2011-08-05,14,10,blur,
2011-08-05,14,15,blur,
2011-08-05,14,20,blur,
2011-08-05,14,75,blur,
2011-08-05,15,15,blur,
2011-08-05,15,70,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,15,90,blur,
2011-08-05,16,65,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,16,70,blur,
2011-08-05,16,90,blur,
2011-08-05,16,95,blur,
2011-08-05,17,20,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,19,30,blur,
2011-08-05,19,35,blur,
2011-08-05,19,40,blur,
2011-08-05,19,85,blur,
2011-08-05,20,65,blur,
2011-08-05,21,10,blur,
2011-08-05,21,35,blur,
2011-08-05,21,40,blur,
2011-08-05,22,10,blur,
2011-08-05,22,15,blur,
2011-08-05,23,15,blur,
2011-08-05,23,30,blur,
2011-08-05,23,45,blur,
2011-08-05,23,60,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,24,5,blur,
2011-08-05,24,10,blur,
2011-08-05,24,15,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,25,90,blur,
2011-08-05,25,100,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,27,55,blur,
2011-08-05,27,60,blur,
2011-08-05,27,65,blur,
2011-08-05,27,70,blur,
2011-08-05,28,10,blur,
2011-08-05,29,30,blur,
2011-08-05,29,60,blur,
2011-08-05,29,85,blur,
2011-08-05,30,20,blur,
2011-08-05,30,70,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,32,65,blur,
2011-08-04,34,65,blur,Check image: "partially blurry (traced as best I could)"
2011-08-04,36,40,blur,Check image: "partially blurry (traced as best I could)"
2011-08-01,41,95,blur,
2011-08-01,41,100,blur,Check image: "partially blurry (traced as best I could)"
2011-08-01,42,10,blur,
2011-08-01,42,55,blur,
2011-08-01,42,60,water,Check image: "partially obscured by water (traced as best I could)"
2011-08-01,43,65,blur,
2011-08-01,45,40,blur,Check image: "partially blurry (traced as best I could)"
2011-08-01,46,35,blur,
2011-08-01,46,40,blur,
2011-08-01,46,100,blur,Check image: "partially blurry (traced as best I could)"
2011-08-04,50,55,blur,
2011-08-04,54,55,water,Check image: "partially obscured by water (traced as best I could)"
2011-08-04,54,60,water,
2011-08-04,57,10,blur,
2011-08-04,57,15,blur,
2011-08-04,57,60,blur,
2011-08-04,59,10,,Check image for reason: "partially obscured (traced as best I could)"
2011-08-04,64,95,blur,
2011-08-01,66,15,blur,
2011-08-01,66,40,blur,
2011-08-01,66,45,blur,
2011-08-01,66,60,blur,
2011-08-01,68,75,water,
2011-08-04,69,75,blur,
2011-08-05,73,10,blur,
2011-08-05,73,35,blur,
2011-08-05,74,10,blur,
2011-08-05,74,75,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,75,10,blur,
2011-08-05,75,100,blur,
2011-08-05,76,10,blur,
2011-08-05,76,85,blur,Check image: "partially blurry (traced as best I could)"
2011-08-05,77,90,blur,
2011-08-05,78,10,blur,
2011-08-05,78,95,blur,
2011-08-05,78,100,blur,
2011-08-05,79,15,blur,
2011-08-05,79,40,blur,
2011-08-05,79,45,blur,
2011-08-05,80,20,blur,
2011-08-05,80,30,blur,Check image: "partially blurry/obscured (traced as best I could)"
2011-08-04,82,80,water,Check image: "partially obscured by water (traced as best I could)"
2011-08-04,83,10,blur,
2011-08-04,86,35,blur,Check image: "partially blurry (traced as best I could)"
2011-08-04,87,35,blur,Check image: "partially blurry (traced as best I could)"
2011-08-04,88,20,blur,Check image: "partially blurry (traced as best I could)"
2011-08-04,88,30,blur,
2011-08-01,89,65,blur,
2011-08-01,91,25,blur,
2011-08-01,92,70,water,
2011-08-04,96,5,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,30,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,35,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,40,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,45,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,50,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,55,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,60,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,65,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,70,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,80,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,85,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,90,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,95,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,100,bad cal,Pixel size is set to 0. May be able to fix & re-export.
2011-08-04,96,10,,Check image for reason: "partially obscured (traced as best I could)"
2011-08-04,96,15,,Check image for reason: "partially obscured (traced as best I could)"
