date,tube,loc,reason,notes
2013-08-15,1,75,blur,
2013-08-15,1,100,blur,
2013-08-15,3,30,blur,
2013-08-15,6,50,image half black,CHECK: these frames listed in notes column line for tube 7 but in bad frames column on line for tube 6
2013-08-15,6,55,black image,CHECK: these frames listed in notes column line for tube 7 but in bad frames column on line for tube 6
2013-08-15,6,85,blank image,CHECK: these frames listed in notes column line for tube 7 but in bad frames column on line for tube 6
2013-08-14,16,10,light,
2013-08-15,17,25,blur,
2013-08-15,18,5,tape,
2013-08-15,18,10,tape,
2013-08-15,18,15,tape,
2013-08-15,20,10,blur,
2013-08-15,25,30,blur,
2013-08-15,25,90,blur,
2013-08-14,35,5,light,
2013-08-14,35,15,blur,
2013-08-14,35,35,water,
2013-08-14,35,50,blur,
2013-08-14,35,65,blur,
2013-08-14,36,45,blur,
2013-08-14,36,50,blur,
2013-08-14,36,55,blur,
2013-08-14,36,65,blur,
2013-08-14,37,5,light,
2013-08-14,38,35,water,
2013-08-15,42,15,blur,
2013-08-15,42,105,blur,
2013-08-15,43,40,blur,
2013-08-15,44,65,blur,
2013-08-14,48,15,blur,
2013-08-16,50,30,blur,check: note says "MOST FRAMES ARE OBSTRUCTED"
2013-08-13,57,75,mud,
2013-08-13,57,80,mud,
2013-08-14,61,90,blur,
2013-08-14,63,5,light,
2013-08-14,63,10,blur,
2013-08-14,65,20,blur,
2013-08-15,66,105,blur,
2013-08-15,66,110,blur,
2013-08-15,68,10,blur,
2013-08-14,71,5,light,
2013-08-16,77,20,blur,
2013-08-16,77,65,blur,
2013-08-16,77,70,blur,
2013-08-16,80,20,blur,
2013-08-13,81,5,light,
2013-08-13,82,5,light,
2013-08-13,82,10,blur,
2013-08-13,83,5,light,
2013-08-13,84,10,light,
2013-08-15,89,5,no image,
2013-08-15,91,50,blur,
2013-08-15,92,10,blur,
2013-08-15,92,75,blur,
2013-08-14,93,45,blur,
2013-08-14,95,65,blur,
2013-08-14,96,10,light,
2013-08-14,96,15,fog,
2013-08-14,96,20,fog,
2013-08-14,96,85,blur,
