date,tube,loc,reason,notes
2010-05-28,19,50,blur,
2010-05-28,51,35,blur,
2010-05-28,66,20,blur,
2010-05-28,80,20,blur,
2010-05-28,94,65,blur,
2010-07-26,6,75,blur,
2010-07-26,6,85,blur,
2010-07-26,7,55,blur,
2010-07-22,9,55,no img,
2010-07-23,11,9,off target,
2010-07-23,11,13,off target,
2010-07-23,11,17,off target,
2010-07-23,11,21,off target,
2010-07-22,23,25,blur,
2010-07-22,23,30,blur,
2010-07-22,24,55,blur,
2010-07-22,24,65,blur,
2010-07-26,28,20,blur,
2010-07-26,29,45,blur,
2010-07-26,31,20,blur,
2010-07-23,33,10,blur,
2010-07-23,34,10,blur,
2010-07-23,35,95,blur,
2010-07-23,38,40,blur,
2010-07-23,39,20,blur,
2010-07-23,39,60,blur,
2010-07-23,40,10,blur,
2010-07-22,41,15,blur,
2010-07-22,47,85,blur,
2010-07-23,49,10,blur,
2010-07-23,51,10,blur,
2010-07-23,58,15,blur,
2010-07-23,59,9,off target,
2010-07-23,59,13,off target,
2010-07-23,59,17,off target,
2010-07-23,59,65,blur,
2010-07-23,62,10,blur,
2010-07-23,74,1,no img,
2010-07-23,75,10,off target,L10 is same image as L5. Blindly assuming image actually shows Loc 5.
2010-07-23,78,15,blur,
2010-07-23,80,45,blur,
2010-07-23,82,15,blur,
2010-07-23,83,95,blur,
2010-07-23,87,10,blur,
2010-07-23,87,30,blur,
2010-07-23,88,10,blur,
2010-07-22,91,20,blur,
2010-07-22,93,25,blur,
2010-08-12,2,60,blur,
2010-08-12,5,60,blur,
2010-08-12,6,10,blur,
2010-08-12,6,15,blur,
2010-08-12,6,50,blur,
2010-08-12,6,100,blur,
2010-08-12,7,10,blur,
2010-08-12,7,45,blur,
2010-08-18,9,15,blur,
2010-08-18,9,70,blur,
2010-08-18,11,10,blur,
2010-08-18,11,50,blur,
2010-08-18,11,90,blur,
2010-08-18,12,25,blur,
2010-08-18,15,80,blur,
2010-08-18,18,9,off target,"""05 taken twice  as 5,9. Delete records for 9"""
2010-08-18,18,30,blur,
2010-08-18,22,10,blur,
2010-08-18,23,10,blur,
2010-08-18,23,90,blur,
2010-08-18,23,100,blur,
2010-08-18,24,85,blur,
2010-08-18,27,10,blur,
2010-08-12,29,10,blur,
2010-08-12,29,55,blur,
2010-08-12,29,70,blur,
2010-08-17,33,45,blur,"Log says ""33 is blurry"", but no such location. Reviewed, found blur at 45"
2010-08-17,35,10,blur,
2010-08-17,35,20,water,
2010-08-17,35,25,water,
2010-08-17,35,40,water,
2010-08-17,35,85,blur,
2010-08-17,35,95,water,
2010-08-17,35,100,water,
2010-08-17,36,10,blur,
2010-08-17,37,10,blur,
2010-08-17,38,10,blur,
2010-08-17,38,45,blur,
2010-08-17,39,10,blur,
2010-08-17,41,40,blur,
2010-08-17,44,45,blur,
2010-08-17,46,30,blur,
2010-08-17,47,9,off target,"""05 taken twice as 5, 9.  Traced frame labeled 5; delete records for 9. """
2010-08-17,48,20,blur,
2010-08-17,51,55,blur,
2010-08-17,52,5,above ground,
2010-08-17,52,90,blur,
2010-08-17,56,45,blur,
2010-08-17,57,9,off target,"""05 taken three times as 5, 9, 13.Traced frame labeled 5; delete records for 9 and 13.  """
2010-08-17,57,13,off target,"""05 taken three times as 5, 9, 13.Traced frame labeled 5; delete records for 9 and 13.  """
2010-08-17,58,10,blur,
2010-08-17,58,20,water,
2010-08-17,60,10,blur,
2010-08-17,60,15,blur,
2010-08-17,61,10,blur,
2010-08-17,63,15,blur,
2010-08-17,63,55,blur,
2010-08-17,63,85,blur,
2010-08-17,64,15,blur,
2010-08-17,70,10,blur,
2010-08-17,70,45,blur,
2010-08-17,71,65,blur,
2010-08-12,73,75,blur,
2010-08-12,74,15,blur,
2010-08-12,74,25,blur,
2010-08-12,77,60,blur,
2010-08-12,78,40,blur,
2010-08-12,78,50,blur,
2010-08-12,79,30,no img,
2010-08-12,79,90,blur,
2010-08-17,81,10,blur,
2010-08-17,81,65,blur,
2010-08-17,82,10,blur,
2010-08-17,83,40,water,
2010-08-17,83,95,no img,
2010-08-17,83,100,no img,
2010-08-17,84,75,blur,
2010-08-17,86,55,blur,
2010-08-17,88,65,blur,
2010-08-17,89,9,off target,"""05 taken twice as 5, 9, 13.  Delete records for 9"""
2010-08-17,89,13,off target,"""05 taken twice as 5, 9, 13.  Delete records for 9"""
2010-08-17,91,20,blur,
2010-08-17,94,10,blur,
2010-08-17,95,10,blur,
2010-08-17,95,95,blur,
2010-10-07,10,10,blur,
2010-10-07,14,5,dark,
2010-10-07,14,10,dark,
2010-10-07,14,15,dark,
2010-10-07,14,20,dark,
2010-10-08,17,75,blur,
2010-10-08,19,70,blur,
2010-10-07,38,35,blur,
2010-10-14,41,10,fog,
2010-10-14,41,15,fog,
2010-10-07,58,65,blur,
2010-10-07,59,10,blur,
2010-10-07,81,10,blur,
2010-10-07,84,25,blur,
