Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes,
Corn,0,1,0C1,,,,CRS,,,,,no image,
Corn,0,2,0C2,,,,CRS,,,,,no image,
Corn,0,3,0C3,,,,CRS,,,,,no image,
Corn,0,4,0C4,,,,CRS,,,,,no image,
Corn,0,5,0C5,,,,CRS,,,,,no image,
Corn,0,6,0C6,,,,CRS,,,,,no image,
Corn,0,7,0C7,,,,CRS,,,,,no image,
Corn,0,8,0C8,,,,CRS,,,,,no image,
Corn,1,9,1C1,,,,JNR,,,,,no image,
Corn,1,10,1C2,,,,JNR,,,,,no image,
Corn,1,11,1C3,2012-10-26,,,JNR,,,,,no image,
Corn,1,12,1C4,,,,JNR,,,,,no image,
Corn,2,13,2C1,,,,JNR,,,,,no image,
Corn,2,14,2C2,,,,JNR,,,,,no image,
Corn,2,15,2C3,,,,JNR,,,,,no image,
Corn,2,16,2C4,,,,JNR,,,,,no image,
Corn,3,17,3C1,,,,CRS,,,,,no image,
Corn,3,18,3C2,,,,CRS,,,,,no image,
Corn,3,19,3C3,,,,CRS,,,,,no image,
Corn,3,20,3C4,,,,CRS,,,,,no image,
Corn,4,21,4C1,,,,JNR,,,,,no image,
Corn,4,22,4C1,,,,JNR,,,,,no image,
Corn,4,23,4C3,,,,JNR,,,,,no image,
Corn,4,24,4C4,,,,JNR,,,,,no image,
Miscanthus,0,25,0M1,2012-10-26,RMC,2014-06-13,CRS,10_25,L035 Water; 45-60 dirt/water,100,7,This is where the tube images start,
Miscanthus,0,26,0M3,2012-10-26,RMC,2014-06-13,CRS,10_25,,100,12,,
Miscanthus,0,27,0M5,2012-10-26,RMC,2014-06-13,CRS,10_25,,105,10,labeled 30; Tube is dark,
Miscanthus,0,28,0M6,2012-10-26,RMC,2014-06-13,CRS,10_25,L080 tube crack; L105 blur,110,7,,
Miscanthus,0,29,0M7,2012-10-26,RMC,2014-06-13,CRS,10_25,L010 blur,110,9,,
Miscanthus,0,30,0M9,,,,CRS,,,,,Tube labeled 30 is actually 27,
Miscanthus,0,31,0M10,2012-10-26,RMC,2014-06-16,CRS,10_25,,110,9,,
Miscanthus,0,32,0M11,2012-10-26,RMC,2014-06-16,CRS,10_25,,110,16,,
Miscanthus,1,33,1M1,2012-10-25,MDM,2013-10-28,JNR,10_25,Entire tube is not light well (~40% of full luminosity),85,11,,
Miscanthus,1,34,1M2,2012-10-25,MDM,2013-10-28,JNR,10_25,,100,12,,
Miscanthus,1,35,1M4,2012-10-25,MDM,2013-10-28,JNR,10_25,,95,7,labeled 1m4,
Miscanthus,1,36,1M4,2012-10-25,MDM,2013-10-28,JNR,10_25,,95,6,,
Miscanthus,2,37,2M1,2012-10-25,MDM,2013-10-28,JNR,10_25,,100,16,,
Miscanthus,2,38,2M2,2012-10-25,MDM,2013-10-30,JNR,10_25,,100,11,,
Miscanthus,2,39,2M3,2012-10-25,MDM,2013-10-30,JNR,10_25,,95,14,,
Miscanthus,2,40,2M4,2012-10-25,MDM,2013-10-30,JNR,10_25,,100,18,,
Miscanthus,3,41,3M1,2012-10-26,RMC,2014-06-16,CRS,10_25,"L035,40 blurry",110,11,,
Miscanthus,3,42,3M2,2012-10-26,RMC,2014-06-16,CRS,10_25,,110,10,,
Miscanthus,3,43,3M3,2012-10-22,JNR,2014-06-18,CRS,10_25,,110,20,,
Miscanthus,3,44,3M4,2012-10-22,JNR,2014-06-18,CRS,10_25,,105,17,,
Miscanthus,4,45,4M1,2012-10-25,MDM,2013-10-30,JNR,10_25,,85,15,,
Miscanthus,4,46,4M2,2012-10-25,MDM,2013-10-30,JNR,10_25,L100 is too blurry but does have roots and is counted in #of frames with roots,100,16,,
Miscanthus,4,47,4M3,2012-10-25,MDM,2013-10-30,JNR,10_25,,95,16,,
Miscanthus,4,48,4M4,2012-10-25,MDM,2013-11-01,JNR,10_25,L065 is blurry,85,15,,
Switch,0,49,0S2,2012-10-26,RMC,2014-06-18,CRS,10_25,,110,20,,
Switch,0,50,0S3,2012-10-26,RMC,2014-06-19,CRS,10_25,,110,16,,
Switch,0,51,0S5,2012-10-26,RMC,2014-06-19,CRS,10_25,,105,11,Above ground/tape until L015,
Switch,0,52,0S6,2012-10-26,RMC,2014-06-19,CRS,10_25,L040 blur,105,14,,
Switch,0,53,0S8,2012-10-26,RMC,2014-06-19,CRS,10_25,,105,15,,
Switch,0,54,0S9,2012-10-26,RMC,2014-06-24,CRS,10_25,L090-110 fog,80,14,,
Switch,0,55,0S12,2012-10-26,RMC,2014-06-24,CRS,10_25,L065 Blur,100,15,labeled 0s12; L115 bluescreen (not of death),
Switch,0,56,0S12,2012-10-26,RMC,2014-06-27,CRS,10_25,,95,18,Lots of roots,
Switch,1,57,1S1,2012-10-25,MDM,2013-11-01,JNR,10_25,,95,16,,
Switch,1,58,1S2,2012-10-25,MDM,2013-11-01,JNR,10_25,L001?,95,19,L001 has roots?,
Switch,1,59,1S3,2012-10-25,MDM,2013-11-02,JNR,10_25,,70,5,L001 and L005 are the same image level,
Switch,1,60,1S4,2012-10-25,MDM,2013-11-02,JNR,10_25,L060,100,18,L060 is too blurry but is counted in frames with roots,
Switch,2,61,2S1,2012-10-25,MDM,2013-11-02,JNR,10_25,,95,15,,
Switch,2,62,2S2,2012-10-25,MDM,2013-11-04,JNR,10_25,,100,17,REVISIT: CKB notes 2016-01-19 that there are no images from tube 62! What tube is logged on this line?,
Switch,2,63,2S3,2012-10-25,MDM,2013-11-04,JNR,10_25,,100,20,,
Switch,2,64,2S4,2012-10-25,MDM,2013-11-08,JNR,10_25,,100,20,,
Switch,3,65,3S1,2012-10-25,RMC,2014-06-27,CRS,10_25,,110,20,,
Switch,3,66,3S2,2012-10-25,RMC,2014-06-30,CRS,10_25,,85,9,,
Switch,3,67,3S3,2012-10-25,RMC,2014-06-30,CRS,10_25,,110,16,,
Switch,3,68,3S4,2012-10-25,RMC,2014-06-30,CRS,10_25,,105,13,,
Switch,4,69,4S1,2012-10-25,MDM,2013-11-08,JNR,10_25,,100,16,,
Switch,4,70,4S2,2012-10-25,MDM,2013-11-08,JNR,10_25,L035,100,15,L035 too dark to measure but it has roots and is counted in #frames with roots cell,
Switch,4,71,4S3,2012-10-25,MDM,2013-11-09,JNR,10_25,L100,100,17,L100 is too blurry (still counted in the slides with roots #),
Switch,4,72,4S4,2012-10-25,MDM,2013-11-09,JNR,10_25,,100,18,I hate roots,
Prairie,0,73,0P2,2012-10-25,MDM,2014-06-30,CRS,10_25,L020 blur,110,17,,
Prairie,0,74,0P3,2012-10-25,MDM,2014-06-30,CRS,10_25,,110,11,,
Prairie,0,75,0P5,2012-10-25,MDM,2014-06-30,CRS,10_25,,105,16,,
Prairie,0,76,0P6,2012-10-26,RMC,2014-07-08,CRS,10_25,"L010, 85, 90 blur",110,16,in progress 2014-06-30; at L005,
Prairie,0,77,0P7,2012-10-26,RMC,2014-07-08,CRS,10_25,,105,16,,
Prairie,0,78,0P9,2012-10-26,RMC,2014-07-08,CRS,10_25,"L050, 60 blur",110,18,,
Prairie,0,79,0P11,2012-10-26,RMC,2014-07-08,CRS,10_25,"L005,010, 70, 110 blur",105,15,Lots of roots towards bottom,
Prairie,0,80,0P12,2012-10-26,RMC,2014-07-08,CRS,10_25,,100,18,,
Prairie,1,81,1P1,2012-10-25,MDM,2013-11-11,JNR,10_25,"L005, L025, L055",95,12,"L005, L025, L055  have roots but cant be traced (too dark or too obscured).  Counted in total frames with roots",
Prairie,1,82,1P2,2012-10-25,MDM,2013-11-11,JNR,10_25,"L010, L050",95,17,"L010, L050 not able to measure (too obscured) Still counted in total slides with roots.",
Prairie,1,83,1P3,2012-10-25,MDM,2013-11-11,JNR,10_25,L030,100,16,L005 above ground (55%).  L030 too obscured.,Really hate roots..
Prairie,1,84,1P4,2012-10-25,MDM,2013-11-11,JNR,10_25,"L010, L045",100,16,"L001 and L005 are the same image.  L010, L045 (L045 counted in frames with roots)",
Prairie,2,85,2P1,2012-10-25,MDM,2013-11-13,JNR,10_25,L080 ,80,15,L080 has roots but not clear to measure (counted),
Prairie,2,86,2P2,2012-10-25,MDM,2013-11-13,JNR,10_25,L025,100,12,"L025 has parts of the image too blurred Counted in slides with roots (lots of roots), L020 has a root present which is too covered to succefully measured.",
Prairie,2,87,2P3,2012-10-25,MDM,2013-11-13,JNR,10_25,,,,Tube images not present ,
Prairie,2,88,2P4,2012-10-25,MDM,2013-11-13,JNR,10_25,,100,18,,
Prairie,3,89,3P1,2012-10-22,JNR,2014-07-10,CRS,10_25,"L035, 85, 90 blur",105,14,,
Prairie,3,90,3P2,2012-10-22,JNR,2014-07-14,CRS,10_25,,110,20,,
Prairie,3,91,3P3,2012-10-22,JNR,2014-07-14,CRS,10_25,,100,18,,
Prairie,3,92,3P4,2012-10-22,JNR,2014-07-14,CRS,10_25,,110,18,,
Prairie,4,93,4P1,2012-10-25,MDM,2013-11-15,JNR,10_25,L025 is too dark to measure entire slide,100,9,Counted L025 in slides with roots ,
Prairie,4,94,4P2,2012-10-25,MDM,2013-11-15,JNR,10_25,,95,17,,
Prairie,4,95,4P3,2012-10-25,MDM,2013-11-15,JNR,10_25,,90,15,,
Prairie,4,96,4P4,2012-10-25,MDM,2013-11-15,JNR,10_25,,100,16,L001-L010 above ground (100%),
