Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,2012-08-30,MDM,2014-07-17,CRS,08_31,,110,15,
Corn,0,2,0C2,2012-08-30,MDM,2014-07-17,CRS,08_31,,110,18,
Corn,0,3,0C3,2012-08-30,MDM,2014-07-17,CRS,08_31,,100,14,
Corn,0,4,0C4,2012-08-30,MDM,2014-07-18,CRS,08_31,,110,13,
Corn,0,5,0C5,2012-08-30,MDM,2014-07-18,CRS,08_31,,110,12,
Corn,0,6,0C6,2012-08-30,MDM,2014-07-22,CRS,08_31,,105,14,
Corn,0,7,0C7,2012-08-30,MDM,2014-07-22,CRS,08_31,,105,19,
Corn,0,8,0C8,2012-08-30,MDM,2014-07-22,CRS,08_31,,110,14,L005 NoImage
Corn,1,9,1C1,2012-08-31,MDM,2013-08-13,JNR,08_31,,100,13,
Corn,1,10,1C2,2012-08-31,MDM,2013-08-13,JNR,08_31,,100,17,
Corn,1,11,1C3,2012-08-31,MDM,2013-08-13,JNR,08_31,L050and L090 are blurry,100,16,L050 and L090 counted in total frames with roots
Corn,1,12,1C4,2012-08-31,MDM,2014-01-13,JNR,08_31,L055 too wet,100,"17 including ""bad"" frame""",
Corn,2,13,2C1,2012-08-30,MDM,2014-01-13,JNR,08_31,,100,14,
Corn,2,14,2C2,2012-08-30,MDM,2014-01-29,JNR,08_31,,100,12,
Corn,2,15,2C3,2012-08-30,MDM,2014-01-29,JNR,08_31,L075 has roots but blurry,95,15,L005 is above ground
Corn,2,16,2C4,2012-08-30,MDM,2014-01-30,JNR,08_31,L095 partially obscured,100,19,L095 counted in #frames with roots cell
Corn,3,17,3C1,2012-08-30,MDM,2014-07-23,CRS,08_31,L005 light contamination,110,15,
Corn,3,18,3C2,2012-08-30,MDM,2014-07-23,CRS,08_31,,100,13,
Corn,3,19,3C3,2012-08-30,MDM,2014-07-24,CRS,08_31,,105,17,
Corn,3,20,3C4,2012-08-30,MDM,2014-07-24,CRS,08_31,,105,13,
Corn,4,21,4C1,2012-08-30,MDM,2014-02-03,JNR,08_31,,100,16,
Corn,4,22,4C1,2012-08-30,MDM,2014-02-03,JNR,08_31,,100,6,L005 above ground
Corn,4,23,4C3,2012-08-30,MDM,2014-02-04,JNR,08_31,,95,10,L001-L015 above ground
Corn,4,24,4C4,2012-08-30,MDM,2014-02-04,JNR,08_31,,100,14,
Miscanthus,0,25,0M1,2012-08-29,MDM,2014-07-24,CRS,08_31,,105,7,
Miscanthus,0,26,0M3,2012-08-29,MDM,2014-07-24,CRS,08_31,,105,13,
Miscanthus,0,27,0M5,2012-08-29,MDM,2014-07-24,CRS,08_31,L045 blur,110,14,labeled 30
Miscanthus,0,28,0M6,2012-08-29,MDM,2014-07-24,CRS,08_31,,105,4,
Miscanthus,0,29,0M7,2012-08-29,MDM,2014-07-24,CRS,08_31,,110,12,
Miscanthus,0,30,0M9,2012-08-29,MDM,2014-07-24,CRS,08_31,,105,9,
Miscanthus,0,31,0M10,2012-08-29,MDM,2014-07-24,CRS,08_31,,110,10,
Miscanthus,0,32,0M11,2012-08-29,MDM,2014-07-24,CRS,08_31,,110,14,
Miscanthus,1,33,1M1,2012-08-31,MDM,2014-02-04,JNR,08_31,,100,16,
Miscanthus,1,34,1M2,2012-08-31,MDM,2014-02-04,JNR,08_31,,95,13,
Miscanthus,1,35,1M4,2012-08-31,MDM,2014-02-04,JNR,08_31,,95,11,labeled 1m4
Miscanthus,1,36,1M4,2012-08-31,MDM,2014-02-10,JNR,08_31,,85,9,
Miscanthus,2,37,2M1,2012-08-31,MDM,2014-02-10,JNR,08_31,,100,16,
Miscanthus,2,38,2M2,2012-08-31,MDM,2014-02-10,JNR,08_31,,100,16,
Miscanthus,2,39,2M3,2012-08-31,MDM,2014-02-12,JNR,08_31,,85,11,
Miscanthus,2,40,2M4,2012-08-31,MDM,2014-02-12,JNR,08_31,,100,16,
Miscanthus,3,41,3M1,2012-08-30,MDM,2014-07-25,CRS,08_31,,110,15,
Miscanthus,3,42,3M2,2012-08-30,MDM,2014-07-25,CRS,08_31,,110,13,
Miscanthus,3,43,3M3,2012-08-30,MDM,2014-07-25,CRS,08_31,L050 blur,105,15,"L005, 10 have a scratch that looks like a root"
Miscanthus,3,44,3M4,2012-08-30,MDM,2014-07-25,CRS,08_31,,105,15,Different colored soil but no change in crop
Miscanthus,4,45,4M1,2012-08-30,MDM,2014-02-12,JNR,08_31,,100,16,
Miscanthus,4,46,4M2,2012-08-30,MDM,2014-02-14,JNR,08_31,,95,13,
Miscanthus,4,47,4M3,2012-08-30,MDM,2014-02-14,JNR,08_31,L085 is too undefined to measure,100,14,
Miscanthus,4,48,4M4,2012-08-30,MDM,2014-02-14,JNR,08_31,,85,15,
Switch,0,49,0S2,2012-08-30,MDM,2014-07-25,CRS,08_31,,110,21,Jack accidentally started this tube (up to L055); Chris is not complaining!
Switch,0,50,0S3,2012-08-30,MDM,2014-07-25,CRS,08_31,,105,9,CHECK:CKB suspects this line is for tube 51
Switch,0,51,0S5,,,,CRS,,,,,
Switch,0,52,0S6,,,,CRS,,,,,
Switch,0,53,0S8,,,,CRS,,,,,
Switch,0,54,0S9,,,,CRS,,,,,
Switch,0,55,0S12,,,,CRS,,,,,labeled 0s12
Switch,0,56,0S12,,,,CRS,,,,,
Switch,1,57,1S1,2012-08-31,MDM,2014-02-17,JNR,08_31,,95,13,
Switch,1,58,1S2,2012-08-31,MDM,2014-02-17,JNR,08_31,L010 is blurry,100,19,Lots of roots 
Switch,1,59,1S3,2012-08-31,MDM,2014-03-10,JNR,08_31,,110,8,
Switch,1,60,1S4,2012-08-31,MDM,2014-03-10,JNR,08_31,,110,19,
Switch,2,61,2S1,2012-08-31,MDM,2014-03-10,JNR,08_31,,100,15,
Switch,2,62,2S2,,,2014-03-14,JNR,,,,,Does not exist 
Switch,2,63,2S3,2012-08-31,MDM,2014-03-14,JNR,08_31,L050 too blurry,110,13,13 plus one which was too blurry
Switch,2,64,2S4,2012-08-31,MDM,2014-03-19,JNR,08_31,L040 too blurry,110,20,L001 and L005 are the same image
Switch,3,65,3S1,,,,CRS,,,,,
Switch,3,66,3S2,,,,CRS,,,,,
Switch,3,67,3S3,,,,CRS,,,,,
Switch,3,68,3S4,,,,CRS,,,,,
Switch,4,69,4S1,2012-08-30,MDM,2014-03-30,JNR,08_31,"L055 is too blurry but has roots, L075 has roots measured but some are undefinable ",105,18,18 plus one blurry root slide
Switch,4,70,4S2,2012-08-30,MDM,2014-03-30,JNR,08_31,,100,17,
Switch,4,71,4S3,2012-08-30,MDM,2014-04-02,JNR,08_31,L110   blurry but has root,110,21,20 if you don't count unmeasured slide (L110)
Switch,4,72,4S4,2012-08-30,MDM,2014-04-03,JNR,08_31,"L010, L025, L065 blurry but have root ",110,21,19 if you don't count umeasured slides (2) with roots
Prairie,0,73,0P2,,,,CRS,,,,,
Prairie,0,74,0P3,,,,CRS,,,,,
Prairie,0,75,0P5,,,,CRS,,,,,
Prairie,0,76,0P6,,,,CRS,,,,,
Prairie,0,77,0P7,,,,CRS,,,,,
Prairie,0,78,0P9,,,,CRS,,,,,
Prairie,0,79,0P11,,,,CRS,,,,,
Prairie,0,80,0P12,,,,CRS,,,,,
Prairie,1,81,1P1,2012-08-31,MDM,2014-03-17,JNR,08_31,,105,17,
Prairie,1,82,1P2,2012-08-31,MDM,2014-03-17,JNR,08_31,,105,19,
Prairie,1,83,1P3,2012-08-31,MDM,2014-04-07,JNR,08_31,,100,14,
Prairie,1,84,1P4,2012-08-31,MDM,2014-04-07,JNR,08_31,,110,21,L001 and L005 are the same image
Prairie,2,85,2P1,2012-08-31,MDM,2014-04-07,JNR,08_31,L030 is too obscure by water (has roots),90,15,14 if you don't count L030 which was too obscured
Prairie,2,86,2P2,2012-08-31,MDM,2014-04-15,JNR,08_31,,100,13,L025 was fun to trace
Prairie,2,87,2P3,2012-08-31,MDM,2014-04-16,JNR,08_31,L010 too undefined,110,18,17 if you don't count L010
Prairie,2,88,2P4,2012-08-31,MDM,2014-04-16,JNR,08_31,"L060, L055, L010 (has roots) too blurry",105,17,plus 2 slides with roots that were too blurry
Prairie,3,89,3P1,,,,CRS,,,,,
Prairie,3,90,3P2,,,,CRS,,,,,
Prairie,3,91,3P3,,,,CRS,,,,,
Prairie,3,92,3P4,,,,CRS,,,,,
Prairie,4,93,4P1,2012-08-30,MDM,2014-04-21,JNR,08_31,,110,15,
Prairie,4,94,4P2,2012-08-30,MDM,2014-04-21,JNR,08_31,,105,20,
Prairie,4,95,4P3,2012-08-30,MDM,2014-04-22,JNR,08_31,L010 blurry,110,21,
Prairie,4,96,4P4,2012-08-30,MDM,2014-04-22,JNR,08_31,,105,18,
