Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,2013-06-17,LCR,2015-02-20,TAW,EF2013_T097_L001_2013.06.17_113157_001_LCR, ,L085,3,
Corn,0,2,0C2,2013-06-17,LCR,2015-02-20,TAW,EF2013_T097_L001_2013.06.17_113157_001_LCR,10,L095,4,10=water droplets
Corn,0,3,0C3,2013-06-17,LCR,2015-02-20,TAW,EF2013_T097_L001_2013.06.17_113157_001_LCR,15,L030,1,15=blury
Corn,0,4,0C4,,,,,,,,,
Corn,0,5,0C5,2013-06-17,LCR,2015-02-20,TAW,EF2013_T097_L001_2013.06.17_113157_001_LCR,,L105,7,A lot of frames are covered with water droplets
Corn,0,6,0C6,2013-06-17,LCR,2015-02-20,TAW,EF2013_T097_L001_2013.06.17_113157_001_LCR, ,L105,6,L05-030 cannot tell if there are roots or scratches
Corn,0,7,0C7,2013-06-17,LCR,2015-02-20,TAW,EF2013_T097_L001_2013.06.17_113157_001_LCR, ,L105,8,Lot of scratches that might be mistaken as roots
Corn,0,8,0C8,,,,,,,,,
Corn,1,9,1C1,2013-06-18,LCR,2015-03-11,TAW,EF2013_T097_L001_2013.06.18_131500_001_LCR,"25, 40, 45, 65, 70, 80",L110,7,"25, 40, 45, 65, 70, 80=blury"
Corn,1,10,1C2,,,,,,,,,
Corn,1,11,1C3,2013-06-18,LCR,2015-03-11,TAW,EF2013_T097_L001_2013.06.18_131500_001_LCR,,L095,10,
Corn,1,12,1C4,2013-06-18,LCR,2015-03-11,TAW,EF2013_T097_L001_2013.06.18_131500_001_LCR,,L105,12,
Corn,2,13,2C1,2013-06-19,LCR,2015-03-27,TAW,EF2013_T097_L002_2013.06.19_101302_001_LCR,,L110,10,
Corn,2,14,2C2,,,,,,,,,
Corn,2,15,2C3,,,,,,,,,
Corn,2,16,2C4,,,,,,,,,
Corn,3,17,3C1,,,,,,,,,
Corn,3,18,3C2,,,,,,,,,
Corn,3,19,3C3,,,,,,,,,
Corn,3,20,3C4,,,,,,,,,
Corn,4,21,4C1,2013-06-17,LCR,2015-02-20,TAW,EF2013_T097_L001_2013.06.17_113157_001_LCR, ,L085,5,Lot of scratches that might be mistaken as roots
Corn,4,22,4C1,,,,,,,,,
Corn,4,23,4C3,2013-06-17,LCR,2015-02-20,TAW,EF2013_T097_L001_2013.06.17_113157_001_LCR, ,L110,6,Lot of scratches that might be mistaken as roots
Corn,4,24,4C4,,,,,,,,,
Miscanthus,0,25,0M1,,,,,,,,,
Miscanthus,0,26,0M3,,,,,,,,,
Miscanthus,0,27,0M5,,,,,,,,,
Miscanthus,0,28,0M6,,,,,,,,,
Miscanthus,0,29,0M7,,,,,,,,,
