Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes,
Miscanthus,2,38,2M2,2011-08-04,AP,2015-04-13,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,19,,
Miscanthus,2,39,2M3,2011-08-04,AP,2015-04-13,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L095,16,,
Miscanthus,2,40,2M4,2011-08-04,AP,2015-04-13,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Miscanthus,3,41,3M1,2011-08-01,AP,2015-04-21,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,"L095, 100",L100,17,L095=blury; L100=partially blury (traced as best I could),
Miscanthus,3,42,3M2,2011-08-01,AP,2015-04-22,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,"L010, 055, 060",L100,17,"L010=blury; L055, 060=partially obscured by water (traced as best I could)",
Miscanthus,3,43,3M3,2011-08-01,AP,2015-04-22,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,L065,L100,18,L065=blury,
Miscanthus,3,44,3M4,2011-08-01,AP,2015-04-22,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,20,,
Miscanthus,4,45,4M1,2011-08-01,AP,2015-04-22,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,L040,L100,19,L040=partially blury (traced as best I could),
Miscanthus,4,46,4M2,2011-08-01,AP,2015-04-22,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,"L035, 040, 100",L100,18,"L035, 040=blury; L100=partially blury (traced as best I could)",
Miscanthus,4,47,4M3,2011-08-01,AP,2015-04-22,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,20,,
Miscanthus,4,48,4M4,2011-08-01,AP,2015-04-22,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,20,,
Switch,0,49,0S2,2011-08-04,AP,2015-04-14,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Switch,0,50,0S3,2011-08-04,AP,2015-04-14,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,L055,L100,19,L055=blury; A lot of the frames looked like they had fog or something obscuring them (traced as best I could),
Switch,0,51,0S5,2011-08-04,AP,2015-04-14,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,13,,
Switch,0,52,0S6,2011-08-04,AP,2015-04-14,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,17,,
Switch,0,53,0S8,2011-08-04,AP,2015-04-14,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L095,19,,
Switch,0,54,0S9,2011-08-04,AP,2015-04-14,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,"L055, 060",L095,18,L055=partially obscured by water (traced as best I could); L060=obscured by water,
Switch,0,55,0S12,2011-08-04,AP,2015-04-14,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Switch,0,56,0S12,,,,,,,,,,
Switch,1,57,1S1,2011-08-04,AP,2015-04-15,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,"L010, 015, 060",L095,16,"L010, 015, 060=blury ",
Switch,1,58,1S2,2011-08-04,AP,2015-04-15,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Switch,1,59,1S3,2011-08-04,AP,2015-04-15,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,L010,L100,20,L010=partially obscured (traced as best I could),
Switch,1,60,1S4,2011-08-04,AP,2015-04-15,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,19,,
Switch,2,61,2S1,2011-08-04,AP,2015-04-15,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,19,,
Switch,2,62,2S2,,,,,,,,,,
Switch,2,63,2S3,2011-08-04,AP,2015-04-16,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Switch,2,64,2S4,2011-08-04,AP,2015-04-16,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,L095,L100,20,L095=blury (traced as best I could),
Switch,3,65,3S1,2011-08-01,AP,2015-04-23,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,21,,
Switch,3,66,3S2,2011-08-01,AP,2015-04-23,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,"L015, 040, 045, 060",L100,14,"L015, 040, 045, 060=blury",
Switch,3,67,3S3,2011-08-01,AP,2015-04-23,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,20,,
Switch,3,68,3S4,2011-08-01,AP,2015-04-23,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,L075,L100,19,L075=partially obscured by water,
Switch,4,69,4S1,2011-08-04,AP,2015-04-16,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,L075,L100,19,L075=blury,
Switch,4,70,4S2,2011-08-04,AP,2015-04-16,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Switch,4,71,4S3,2011-08-04,AP,2015-04-16,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Switch,4,72,4S4,2011-08-04,AP,2015-04-16,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Prairie,0,73,0P2,2011-08-05,AP,2015-04-09,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 035",L100,18,"L010, 035=blury",
Prairie,0,74,0P3,2011-08-05,AP,2015-04-09,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 075",L100,18,L010=blury; L075=partially blury (traced as best I could),
Prairie,0,75,0P5,2011-08-05,AP,2015-04-09,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 100",L095,18,"L010, 100=blury",
Prairie,0,76,0P6,2011-08-05,AP,2015-04-09,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 085",L100,17,L010= blury; L085=partially blury (traced as best I could),
Prairie,0,77,0P7,2011-08-05,AP,2015-04-09,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,L090 ,L095,18,L090=blury ,
Prairie,0,78,0P9,2011-08-05,AP,2015-04-09,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L010, 095, 100",L090,15,"L010, 095, 100=blury",
Prairie,0,79,0P11,2011-08-05,AP,2015-04-09,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L015, 040, 045",L100,14,"L015, 040,045=blury",
Prairie,0,80,0P12,2011-08-05,AP,2015-04-09,TAW,EF2011_T097_L003_2011.08.05_095939_004_AP,"L020, 030",L100,21,"L020, 030=partially blury/obscured (traced as best I could)",
Prairie,1,81,1P1,2011-08-04,AP,2015-04-16,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Prairie,1,82,1P2,2011-08-04,AP,2015-04-16,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,L080,L100,20,L080=partially obscured by water (traced as best I could),
Prairie,1,83,1P3,2011-08-04,AP,2015-04-21,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,L010,L100,19,L010=blury,
Prairie,1,84,1P4,2011-08-04,AP,2015-04-21,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L100,20,,
Prairie,2,85,2P1,2011-08-04,AP,2015-04-21,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,,L080,16,,
Prairie,2,86,2P2,2011-08-04,AP,2015-04-21,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,L035,L100,18,L035=partially blury (traced as best I could),
Prairie,2,87,2P3,2011-08-04,AP,2015-04-21,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,L035,L100,19,L035=partially blury (traced as best I could),
Prairie,2,88,2P4,2011-08-04,AP,2015-04-21,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,"L020, 030",L095,17,L020=partially obscured (traced as best I could); L030=blury,
Prairie,3,89,3P1,2011-08-01,AP,2015-04-23,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,L065,L100,19,L065=blury,
Prairie,3,90,3P2,2011-08-01,AP,2015-04-23,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,20,,
Prairie,3,91,3P3,2011-08-01,AP,2015-04-24,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,L025,L100,19,L025=blury,
Prairie,3,92,3P4,2011-08-01,AP,2015-04-24,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,L070,L100,20,L070=partially obscured by water,
Prairie,4,93,4P1,2011-08-01,AP,2015-04-24,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,19,,
Prairie,4,94,4P2,2011-08-01,AP,2015-04-24,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,19,,
Prairie,4,95,4P3,2011-08-01,AP,2015-04-28,TAW,EF2011_T097_L001_2011.08.01_095744_004_AP,,L100,20,,
Prairie,4,96,4P4,2011-08-04,AP,2015-04-21,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,"L010, 015, 020, 025, 075",L100,19,"L010, 015, 020, 025= partially obscured (traced as best I could); L075=obscured by water",
,,,,,,,,,,,,,
,,98,,2011-08-04,AP,2015-04-28,TAW,EF2011_T097_L002_2011.08.04_102722_004_AP,"L035, ,060, 070, 075, 080",L100,19,"L035, 060, 075, 080=partially obscured (traced as best I could); L070=obscured",
