Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Soy,0,1,0C1,,,,CKB,,,,,not imaged
Soy,0,2,0C2,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,no,,11,
Soy,0,3,0C3,,,,CKB,,,,,not imaged
Soy,0,4,0C4,,,,CKB,,,,,not imaged
Soy,0,5,0C5,,,,CKB,,,,,not imaged
Soy,0,6,0C6,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,yes,,11,"75, 85 is blurry"
Soy,0,7,0C7,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,yes,,13,55 is blurry
Soy,0,8,0C8,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,no,,15,
Soy,1,9,1C1,2010-07-22,AP,2011-03-08,MD,EF2010_T097_L001_2010.07.22_103015_003_AP,No,100,7,no image for L55
Soy,1,10,1C2,2010-07-23,AP,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,no,90,9,
Soy,1,11,1C3,2010-07-23,AP,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,no,65,8,"delete 9, 13, 17, 21"
Soy,1,12,1C4,2010-07-23,AP,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,no,95,12,
Soy,2,13,2C1,2010-07-22,AP,2011-05-11,MPD,EF2010_T097_L001_2010.07.22_103015_003_AP,no,45,7,
Soy,2,14,2C2,2010-07-22,AP,2011-05-11,MPD,EF2010_T097_L001_2010.07.22_103015_003_AP,no,55,2,
Soy,2,15,2C3,2010-07-22,AP,2011-05-11,MPD,EF2010_T097_L001_2010.07.22_103015_003_AP,no,95,16,
Soy,2,16,2C4,2010-07-22,AP,2011-05-11,MPD,EF2010_T097_L001_2010.07.22_103015_003_AP,no,65,7,
Soy,3,17,3C1,2010-07-22,AP,2011-03-08,MD,EF2010_T097_L001_2010.07.22_103015_003_AP,No,,4,
Soy,3,18,3C2,2010-07-22,AP,2011-03-09,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,No,,5,
Soy,3,19,3C3,2010-07-22,AP,2011-03-09,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,No,,11,
Soy,3,20,3C4,2010-07-22,AP,2011-03-09,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,No,,14,
Soy,4,21,4C1,2010-07-22,AP,2011-04-11,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,No,,7,
Soy,4,22,4C1,2010-07-22,AP,2011-04-11,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,No,,5,
Soy,4,23,4C3,2010-07-22,AP,2011-04-11,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,yes,,4,"25,30 is blurry"
Soy,4,24,4C4,2010-07-22,AP,2011-04-11,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,yes,,10,"65,55 is blurry"
Miscanthus,0,25,0M1,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,No,,8,
Miscanthus,0,26,0M3,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,No,,17,
Miscanthus,0,27,0M5,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,No,,13,
Miscanthus,0,28,0M6,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,Yes,,4,20 is blurry
Miscanthus,0,29,0M7,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,Yes,,6,45 is blurry
Miscanthus,0,30,0M9,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,No,,11,
Miscanthus,0,31,0M10,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,Yes,,11,20 is blurry
Miscanthus,0,32,0M11,2010-07-26,AP,2011-09-27,AP,EF2010_T097_L004_2010.07.26_101238_003_AP,No,,8,
Miscanthus,1,33,1M1,2010-07-23,,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,10 blurry,70,11,
Miscanthus,1,34,1M2,2010-07-23,,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,10 blurry,60,9,
Miscanthus,1,35,1M4,2010-07-23,,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,95 blurry,85,9,Tube 35 images originally named as tube 36. Have corrected by renaming all images.
Miscanthus,1,36,1M4,2010-07-22,,2011-05-11,MPD,EF2010_T097_L001_2010.07.22_103015_003_AP,no,85,16,Tube 36 images originally named as tube 35. Have corrected by renaming all images.
Miscanthus,2,37,2M1,2010-07-23,,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,no,75,14,
Miscanthus,2,38,2M2,2010-07-23,,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,40 blurry,50,9,
Miscanthus,2,39,2M3,2010-07-23,,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,"20, 60 blurry",70,7,
Miscanthus,2,40,2M4,2010-07-23,,2011-05-11,MPD,EF2010_T097_L003_2010.07.23_105117_003_AP,10 blurry,95,15,
Miscanthus,3,41,3M1,2010-07-22,AP,2011-03-15,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,yes,,13,15 is blurry
Miscanthus,3,42,3M2,2010-07-22,AP,2011-03-15,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,no,,11,
Miscanthus,3,43,3M3,2010-07-22,AP,2011-04-04,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,no,,5,
Miscanthus,3,44,3M4,2010-07-22,AP,2011-04-04,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,no,,9,
Miscanthus,4,45,4M1,2010-07-22,AP,2011-04-04,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,no,,15,
Miscanthus,4,46,4M2,2010-07-22,AP,2011-04-04,AP,EF2010_T097_L001_2010.07.22_103015_003_AP,no,,14,
