Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Corn,0,1,0C1,,,,,,,,,
Corn,0,2,0C2,,,,,,,,,
Corn,0,3,0C3,,,,,,,,,
Corn,0,4,0C4,,,,,,,,,
Corn,0,5,0C5,,,,,,,,,
Corn,0,6,0C6,,,,,,,,,
Corn,0,7,0C7,,,,,,,,,
Corn,0,8,0C8,,,,,,,,,
Corn,1,9,1C1,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,2,
Corn,1,10,1C2,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,2,
Corn,1,11,1C3,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,2,
Corn,1,12,1C4,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,1,
Corn,2,13,2C1,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,3,
Corn,2,14,2C2,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,3,
Corn,2,15,2C3,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,3,
Corn,2,16,2C4,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,4,
Corn,3,17,3C1,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,2,
Corn,3,18,3C2,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,1,
Corn,3,19,3C3,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,yes,,5,50 is blurry
Corn,3,20,3C4,2010-05-28,ap,2010-06-21,ap,EF2010_T097_L003_2010.05.28_095759_001_AP,no,,1,
Corn,4,21,4C1,,,,,,,,,
