Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Match Ref Img?,Calibration image,Bad frames?,Deepest roots,# frames with roots,Notes
Switch,1,58,1S2,2009-08-27,ckb,2010-04-16,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,12,
Switch,1,59,1S3,2009-08-27,ckb,2010-04-16,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,9,
Switch,1,60,1S4,2009-08-27,ckb,2010-04-16,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,7,
Switch,2,61,2S1,2009-08-27,ckb,2010-04-16,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,yes,,8,"90,95,100 are blurry."
Switch,2,62,2S2,2009-08-27,ckb,2010-04-16,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,6,
Switch,2,63,2S3,2009-08-27,ckb,2010-04-16,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,7,
Switch,2,64,2S4,2009-08-27,ckb,2010-04-16,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,17,
Switch,3,65,3S1,2009-08-27,ckb,2010-04-16,ap,no,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,2,Frames 15-65 have streaks of water on them.
Switch,3,66,3S2,2009-08-27,ckb,2010-04-20,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,5,
Switch,3,67,3S3,2009-08-27,ckb,2010-04-20,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,8,
Switch,3,68,3S4,2009-08-27,ckb,2010-04-20,ap,yes,EF_T097_L041_2009.08.27_090647_002_CKB.jpg,no,,18,
Switch,4,69,4S1,,,,,,,,,,
Switch,4,70,4S2,,,,,,,,,,
Switch,4,71,4S3,,,,,,,,,,
Switch,4,72,4S4,,,,,,,,,,
Prairie,0,73,0P2,,,,,,,,,,
Prairie,0,74,0P3,,,,,,,,,,
Prairie,0,75,0P5,,,,,,,,,,
Prairie,0,76,0P6,,,,,,,,,,
Prairie,0,77,0P7,,,,,,,,,,
Prairie,0,78,0P9,,,,,,,,,,
Prairie,0,79,0P11,,,,,,,,,,
Prairie,0,80,0P12,,,,,,,,,,
Prairie,1,81,1P1,,,,,,,,,,
Prairie,1,82,1P2,,,,,,,,,,
Prairie,1,83,1P3,,,,,,,,,,
Prairie,1,84,1P4,,,,,,,,,,
Prairie,2,85,2P1,,,,,,,,,,
Prairie,2,86,2P2,,,,,,,,,,
Prairie,2,87,2P3,,,,,,,,,,
Prairie,2,88,2P4,,,,,,,,,,
Prairie,3,89,3P1,,,,,,,,,,
Prairie,3,90,3P2,,,,,,,,,,
Prairie,3,91,3P3,,,,,,,,,,
Prairie,3,92,3P4,,,,,,,,,,
Prairie,4,93,4P1,,,,,,,,,,
Prairie,4,94,4P2,,,,,,,,,,
Prairie,4,95,4P3,,,,,,,,,,
Prairie,4,96,4P4,,,,,,,,,,
