MSE,mean_y,var_y,RMSE,CV_RMSE,FVU,Year,Session,Run_ID,Date
5.5412076896109,-7.66913844022694,6.06409106691817,2.35397699428242,-0.306941517959188,0.913773825040361,2010,1,_current,2010-05-27
4.50157691537206,-6.40574060677118,5.04049154276341,2.12169199352122,-0.331217282085773,0.893082922008853,2010,3,_current,2010-07-23
2.71982569204596,-5.65952915455233,3.46232773848513,1.64918940453968,-0.291400460975297,0.785548306653361,2010,4,_current,2010-08-16
5.10426915479549,-7.49499457329138,6.72448609407596,2.25926296716329,-0.301436237887915,0.759057135874245,2010,5,_current,2010-10-10
1.8994595717603,-5.12392448410861,2.36021050962734,1.37820882734087,-0.268975241851292,0.804783964825327,2011,4,_current,2011-08-03
3.22112724685439,-5.56480361482718,4.09095637535847,1.79474991206418,-0.322518104193677,0.787377559500898,2012,1,_current,2012-05-21
3.25322733658623,-5.42876439298654,3.74485300221327,1.80367051774603,-0.332243285429039,0.868719635901201,2012,2,_current,2012-06-06
3.2221117727149,-5.43263127074131,3.7118537596748,1.79502417050994,-0.330415240985976,0.86805999948586,2012,3,_current,2012-06-20
2.50928741881022,-5.33784517183631,3.31083605485259,1.58407304718255,-0.296762644135968,0.757901441580725,2012,4,_current,2012-08-05
2.90658162771858,-5.51444196627928,3.70655049329438,1.7048699738451,-0.309164550877559,0.78417429709293,2012,5,_current,2012-08-30
2.72122891656455,-5.41205592090529,3.60758704231026,1.64961477823295,-0.304803720128046,0.754307209957686,2012,6,_current,2012-10-24
2.55637030968743,-5.4067046877883,3.22187315518476,1.59886531943358,-0.295719002934414,0.793442257518308,2013,5,_current,2013-08-14
2.93196165655189,-4.86519763185184,3.32057815289295,1.71229718698358,-0.351948125554733,0.882967218825285,2014,2,_current,2014-08-14
