num,name,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Year,Run_ID,Session,Date
1,Maize-Soybean,2.47536846625272,0.00244392933608216,0.345623801256886,1.89891878923616,2.23140972226307,2.43977005287004,2.68495628296182,3.24549495107384,20000,0.999854633096269,2010,_current,1,2010-05-27
2,Switchgrass,2.45716602060919,0.000873589396129387,0.12354419719515,2.22693976661045,2.37125320819695,2.45247735464144,2.53681047092721,2.71246964881491,20000,1.00014188535508,2010,_current,1,2010-05-27
3,Miscanthus,2.36892708974434,0.00121223932758318,0.171436529791018,2.06301129683703,2.24833980817637,2.35890423908996,2.47890578326351,2.72908567775376,20000,1.00003075115827,2010,_current,1,2010-05-27
4,Prairie,2.32328888380824,0.000770376703318687,0.108947718196956,2.12008695720166,2.24772905982382,2.31910597716104,2.39455122328643,2.54591697047249,20000,0.999879207402633,2010,_current,1,2010-05-27
1,Maize-Soybean,1.89814872276637,0.000775962009208299,0.109737599730865,1.70132978063403,1.82084967824332,1.89338021758891,1.96894835708687,2.1277748649189,20000,0.99999405895496,2010,_current,3,2010-07-23
2,Switchgrass,2.19282191860794,0.000753197111968993,0.10651815708868,1.99735921220093,2.11955203329364,2.18795560455001,2.26086744472038,2.41392201546789,20000,1.00033247209809,2010,_current,3,2010-07-23
3,Miscanthus,2.27318862090079,0.000740306029683271,0.104695082748466,2.07844706603458,2.20054540874561,2.26884543858257,2.34119182678788,2.49141660313783,20000,0.999994885903488,2010,_current,3,2010-07-23
4,Prairie,2.14352993274506,0.000677499033771911,0.0958128322054904,1.9627985791393,2.07746877387437,2.14016353391123,2.20585958830107,2.34324721116573,20000,0.999975338158617,2010,_current,3,2010-07-23
1,Maize-Soybean,1.51892300858167,0.000644025922997731,0.0910790194823241,1.3509690683431,1.45559419479152,1.51622817157884,1.57668981650476,1.71082735097737,20000,0.999887598041994,2010,_current,4,2010-08-16
2,Switchgrass,1.76357225875804,0.000637493970653073,0.0901552619228652,1.59602108216766,1.70100607048829,1.76002770727594,1.8217744631197,1.95172366433825,20000,0.99985994489063,2010,_current,4,2010-08-16
