num,name,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Year,Run_ID,Session,Date
1,Maize-Soybean,-1.03604251192351,0.00452033075129395,0.349608374536576,-1.85740004402124,-1.23707389393318,-0.984561025610067,-0.782603250140281,-0.500275973469773,5981.68071677761,1.00046450019214,2010,_current,1,2010-05-27
2,Switchgrass,-0.858380525017345,0.00238207535209959,0.199929230094031,-1.27533017542298,-0.985683510699497,-0.84910382866351,-0.722191508012286,-0.490526371624627,7044.36087611067,1.00070521671166,2010,_current,1,2010-05-27
3,Miscanthus,-0.965715035395744,0.00301896847097953,0.257674424908683,-1.53063953461415,-1.12652155431578,-0.945132292736393,-0.784254421260068,-0.514936978095858,7284.9315594821,1.00009950986582,2010,_current,1,2010-05-27
4,Prairie,-0.975116029376746,0.00321809589331496,0.207277289938592,-1.41811692536583,-1.10484789510969,-0.961967751449006,-0.830344714422378,-0.605966595302172,4148.63743004876,1.00142015066363,2010,_current,1,2010-05-27
1,Maize-Soybean,-0.814644002003991,0.00386876609952672,0.274551244235525,-1.39351646137481,-0.992327496504716,-0.800200998237542,-0.623824281347794,-0.31714951724977,5036.18743505324,1.00025712836217,2010,_current,3,2010-07-23
2,Switchgrass,-1.0036350706123,0.00275987582331171,0.190215019083669,-1.39687791345114,-1.12671247611565,-0.99524458380184,-0.872157085684826,-0.651060818703622,4750.18502564416,1.00030191858507,2010,_current,3,2010-07-23
3,Miscanthus,-1.509822828804,0.00406130047105703,0.242573028614011,-2.00934427819782,-1.66879971949539,-1.50103295511049,-1.34248008532647,-1.0572056104444,3567.42439760597,1.00012420340068,2010,_current,3,2010-07-23
4,Prairie,-0.864422034028945,0.00276656038531597,0.16749751442122,-1.21307185230673,-0.97438613313411,-0.85710202082583,-0.747282566284909,-0.556997200237041,3665.52702287206,1.00052404438676,2010,_current,3,2010-07-23
1,Maize-Soybean,0.0706263372147062,0.00305473883430295,0.264167222605556,-0.541417991245775,-0.0776328755513988,0.112451745483818,0.255314986476156,0.488431107455189,7478.417176309,1.0000948773258,2010,_current,4,2010-08-16
2,Switchgrass,-0.902224338955253,0.0013156735461742,0.186064337265506,-1.27684597570805,-1.02603817266129,-0.899737079366576,-0.775376221325923,-0.542834364871995,20000,1.00001035162475,2010,_current,4,2010-08-16
3,Miscanthus,-0.68379323947544,0.00159418169473041,0.198074094204405,-1.09730616483981,-0.810432638376562,-0.674096801691343,-0.546456727373108,-0.324902166787434,15437.5977701389,1.00009562114499,2010,_current,4,2010-08-16
4,Prairie,-0.823904572489438,0.00175850033422548,0.204240058698812,-1.24510057997509,-0.958567233605613,-0.815834568079035,-0.682512830892019,-0.446073563687495,13489.5338675445,1.00037422214375,2010,_current,4,2010-08-16
1,Maize-Soybean,0.0453817355348074,0.00252169261693153,0.217180019008706,-0.466629453589425,-0.0714279167074734,0.0725693916989154,0.190272859433641,0.401385044369136,7417.46387380898,1.00006499205507,2010,_current,5,2010-10-10
2,Switchgrass,-1.46133463120706,0.00215624414317871,0.254502225836262,-1.97082531082389,-1.6315146872057,-1.45835100907571,-1.2880137062614,-0.970673345821467,13931.1607766724,1.00028359337105,2010,_current,5,2010-10-10
3,Miscanthus,-0.672581207236694,0.00269897876715282,0.278356423623101,-1.29218038012298,-0.840835689572437,-0.645153715149555,-0.476672859679554,-0.195199954865427,10636.6179400143,1.0000960335704,2010,_current,5,2010-10-10
4,Prairie,-1.24270885724025,0.00257840329363609,0.273077812015391,-1.8001910730605,-1.42125552264579,-1.23261720375288,-1.05712471498634,-0.731984864415171,11216.8557398545,1.00015978604448,2010,_current,5,2010-10-10
1,Maize-Soybean,-0.0184629079450014,0.00164387930081102,0.178553158207218,-0.385518506581126,-0.135746996075721,-0.0111864960554001,0.106103001806395,0.308320973459238,11797.6421424724,1.00051051241854,2011,_current,4,2011-08-03
2,Switchgrass,-0.698310441176281,0.00138100879978798,0.16409658150699,-1.02638270110706,-0.806810794390898,-0.696527712229722,-0.586361527185647,-0.382548226067622,14119.0727457832,1.0000088239501,2011,_current,4,2011-08-03
3,Miscanthus,-0.30996084018479,0.00131674428105404,0.150115202571408,-0.624519250540353,-0.407094072667257,-0.302336823278042,-0.205001749868231,-0.0372174022884714,12997.100338017,0.999913851335538,2011,_current,4,2011-08-03
4,Prairie,-0.538410050209658,0.00114706467822076,0.139191661896496,-0.819993618187953,-0.629613965043998,-0.534648769543328,-0.443061467976532,-0.273925248577829,14724.8414446197,0.999922365227439,2011,_current,4,2011-08-03
1,Maize-Soybean,-0.589884636392603,0.00166003492284432,0.145913133095887,-0.875753141006051,-0.687963095671112,-0.590759059020722,-0.492391262451437,-0.306999692692567,7725.99311188194,1.00030509742684,2012,_current,1,2012-05-21
