tube,depth,Species,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,Year,Session,Date
1,49,Switchgrass,-7.4402121027247,0.00404874708575087,0.528820646532433,-8.45740072580973,-7.78738872377843,-7.44825484686458,-7.10093078688472,-6.35699189677872,17059.8618030443,0.999868941199853,2010,1,2010-05-27
2,49,Miscanthus,-8.37974602288005,0.00457566066860687,0.545539058955593,-9.47995789149922,-8.72668044309934,-8.36740416279839,-8.01858547645974,-7.31156494665614,14214.9089118634,1.00030015237831,2010,1,2010-05-27
3,49,Prairie,-7.77677817901732,0.00384273748382607,0.524599729946139,-8.81497815897355,-8.11663298577614,-7.7766357008189,-7.43903036263245,-6.74460183134016,18636.9436448511,0.999932910942383,2010,1,2010-05-27
4,49,Maize-Soybean,-9.54090293134084,0.00796122875524043,0.62770147553017,-10.847135442541,-9.94086963798875,-9.51321062663769,-9.10968938818443,-8.37835649226781,6216.50222100938,1.00077892356814,2010,1,2010-05-27
1,55,Switchgrass,-7.54031718458553,0.00401120748883667,0.527280693396145,-8.5570083613778,-7.88423919875177,-7.54666642824391,-7.20022040650428,-6.46385063429419,17279.5920311466,0.999862974096246,2010,1,2010-05-27
2,55,Miscanthus,-8.49308149666609,0.0046909455126571,0.547349581690524,-9.60617944945951,-8.84292549531133,-8.47963005953014,-8.1293343836209,-7.43128489791232,13614.7228222867,1.00033088256181,2010,1,2010-05-27
3,55,Prairie,-7.89092669403849,0.00385289232968196,0.524632340887515,-8.93388292621952,-8.23064978053095,-7.88723489833867,-7.55052192894952,-6.86156140631571,18541.1374238946,0.999936662860076,2010,1,2010-05-27
4,55,Maize-Soybean,-9.66827000049496,0.00832203748431011,0.63698224235083,-10.9986107841569,-10.0766716035653,-9.6406172860323,-9.22893245518396,-8.48825957246281,5858.61980562408,1.00084028613792,2010,1,2010-05-27
1,62,Switchgrass,-7.64413857813808,0.00398664886666336,0.526764376616711,-8.6642216922786,-7.9899637526402,-7.64974181624387,-7.30661541351868,-6.57429456922817,17458.8978097623,0.999858829846165,2010,1,2010-05-27
2,62,Miscanthus,-8.61062444861894,0.00483311137054231,0.550935496169749,-9.73506766967469,-8.96482287133691,-8.59571007100583,-8.2452713298158,-7.54818211739575,12994.1508188398,1.00036016304792,2010,1,2010-05-27
3,62,Prairie,-8.00931287065565,0.00394735367458455,0.525803609624055,-9.06316781157875,-8.34849087108582,-8.00521708518808,-7.66685366546539,-6.98079392561641,17743.3265889272,0.999945044897892,2010,1,2010-05-27
4,62,Maize-Soybean,-9.80036545825272,0.00871769975019311,0.64932142262861,-11.1639361707874,-10.2170801755686,-9.77154672388415,-9.35266477206399,-8.60644693539622,5547.73424238174,1.00089913970489,2010,1,2010-05-27
1,69,Switchgrass,-7.73684211149623,0.00397731014827833,0.527236090290187,-8.76337371222474,-8.08272141991714,-7.74034850849501,-7.3992365143108,-6.66978851663276,17572.4107035865,0.999856940997113,2010,1,2010-05-27
2,69,Miscanthus,-8.71558014796488,0.00498142786364618,0.555580432456224,-9.85349555360369,-9.07277340707489,-8.69920554852133,-8.34729711547686,-7.64562194980957,12439.0207319916,1.00038371833465,2010,1,2010-05-27
3,69,Prairie,-8.11502149676475,0.00401746957622824,0.527822134326368,-9.17737338741726,-8.45447442242683,-8.10732122433405,-7.77172821976234,-7.087324884961,17261.161017071,0.999956258527725,2010,1,2010-05-27
4,69,Maize-Soybean,-9.91831528781755,0.00908716346110176,0.662550791804268,-11.3076970268167,-10.3462997549031,-9.88922932662448,-9.46123260557753,-8.70716530198854,5315.95962908598,1.0009467731796,2010,1,2010-05-27
1,76,Switchgrass,-7.82058027732014,0.00397916230711308,0.528416783766864,-8.85351269244613,-8.16663864811984,-7.82279704867126,-7.48000468637959,-6.75300262469161,17634.7740138329,0.999856713970918,2010,1,2010-05-27
2,76,Miscanthus,-8.81038557163778,0.0051892278433903,0.560917590171718,-9.95913249740843,-9.17186293498933,-8.79248089177295,-8.43650757189869,-7.73354799359773,11684.0293630082,1.0004026975313,2010,1,2010-05-27
3,76,Prairie,-8.2105070315819,0.0042457048405252,0.530425423022475,-9.28505511042062,-8.55348650963104,-8.20170481255662,-7.86279690581873,-7.17818983750364,15608.0649984801,0.99996924607783,2010,1,2010-05-27
4,76,Maize-Soybean,-10.0248581781391,0.00943246204018439,0.676189101490247,-11.4399697520099,-10.4603779183039,-9.99340001692269,-9.55460590645545,-8.79901651696049,5139.08973673078,1.00098544705336,2010,1,2010-05-27
1,82,Switchgrass,-7.88643072593953,0.00398747237482174,0.529845271364676,-8.9258609508226,-8.23398064971848,-7.88880559212832,-7.54497248755628,-6.82068414405362,17656.4240665802,0.999857511402689,2010,1,2010-05-27
2,82,Miscanthus,-8.88493914728619,0.00531710689658967,0.565855219152537,-10.0466923075351,-9.24742805381018,-8.86683708350464,-8.50618555020956,-7.80038169957472,11325.5647862722,1.00041601940171,2010,1,2010-05-27
3,82,Prairie,-8.28559543652252,0.00433616510211198,0.53298544138797,-9.3690327958394,-8.63054224127134,-8.27467522774492,-7.93604990830179,-7.25276420352388,15108.4208222721,0.999981240624204,2010,1,2010-05-27
4,82,Maize-Soybean,-10.1086419230523,0.00971091951054,0.687975742535008,-11.5516091755209,-10.5507699725073,-10.0759006345429,-9.62868363221655,-8.8591015831086,5019.09646054883,1.00101286704357,2010,1,2010-05-27
1,89,Switchgrass,-7.95742124877012,0.00400314465417584,0.531873993269796,-9.00339332521935,-8.30460762084502,-7.95910221543601,-7.61470472138109,-6.8922462465174,17652.8545729715,0.999859311904177,2010,1,2010-05-27
2,89,Miscanthus,-8.96531213524808,0.00546199848005228,0.571887614825574,-10.1373318800924,-9.33035368944933,-8.94702987331067,-8.58042381020952,-7.87368907127527,10962.7177477339,1.00042877082944,2010,1,2010-05-27
3,89,Prairie,-8.3665450008309,0.00444472340672008,0.536243015104346,-9.45618821687712,-8.71201529412908,-8.35416646755377,-8.01400694168602,-7.33392672671974,14555.7241380278,0.999995796994467,2010,1,2010-05-27
4,89,Maize-Soybean,-10.1989655576028,0.0100173020639537,0.701670738097326,-11.6740972267986,-10.6480363277301,-10.1649107677599,-9.71135828852216,-8.92655136587246,4906.42530220358,1.00103947897025,2010,1,2010-05-27
1,96,Switchgrass,-8.02303417128923,0.0040237551994056,0.534195080076631,-9.07381432579692,-8.37162947885812,-8.02440122459294,-7.67672565684135,-6.95583143591147,17625.3060112142,0.99986181669394,2010,1,2010-05-27
2,96,Miscanthus,-9.03959679215019,0.00562344350783285,0.578098055798718,-10.2220618325576,-9.40748024013444,-9.01845557617644,-8.6496188318569,-7.94031295175695,10568.1348023116,1.00043907057964,2010,1,2010-05-27
3,96,Prairie,-8.44136255786729,0.00455454936605056,0.539705147426866,-9.53755186362259,-8.79118574535253,-8.42738453010969,-8.08703554762556,-7.40666854634139,14041.7841552123,1.00001062747429,2010,1,2010-05-27
4,96,Maize-Soybean,-10.282447090054,0.0103057025348182,0.715190407585329,-11.7851076401813,-10.7380758104016,-10.2468983848319,-9.78525219890961,-8.9908516148108,4816.01860784447,1.00106141064156,2010,1,2010-05-27
1,103,Switchgrass,-8.08402715308389,0.00404811189579223,0.536732054839249,-9.14267067560207,-8.43447650497589,-8.0855888577809,-7.73363562355878,-7.01025689191909,17579.6429095197,0.99986484004147,2010,1,2010-05-27
2,103,Miscanthus,-9.1086509136875,0.00576420176628722,0.584400855150725,-10.3043533688815,-9.47968421331994,-9.08704862064963,-8.71237041782327,-8.0026554486707,10278.8218064601,1.00044738244118,2010,1,2010-05-27
3,103,Prairie,-8.51091205694519,0.0046642412524412,0.543304916808608,-9.61547391130341,-8.86231252720074,-8.49578335499532,-8.15336016933076,-7.47396496960471,13568.2944335917,1.00002548944697,2010,1,2010-05-27
4,103,Maize-Soybean,-10.3600505162313,0.0105779297596388,0.728459446122454,-11.8899285118955,-10.8230925820963,-10.324265355173,-9.85587330049431,-9.0500036725499,4742.52250935971,1.00107958244029,2010,1,2010-05-27
1,110,Switchgrass,-8.14100821552103,0.00407531016174257,0.539427714439695,-9.20817356885256,-8.4929517285398,-8.14122034805062,-7.78760972046699,-7.06240337936979,17520.4467712541,0.999868241321,2010,1,2010-05-27
2,110,Miscanthus,-9.17316288039388,0.00589952314430899,0.590735386451829,-10.3835710539843,-9.54929284648619,-9.1530354320957,-8.77188581022941,-8.05638435499717,10026.5645784007,1.00045407441894,2010,1,2010-05-27
3,110,Prairie,-8.57588681687367,0.00477287653690518,0.546993382775025,-9.69153000134087,-8.92884384894985,-8.55781665806475,-8.21438215686142,-7.52953854870846,13134.2036038103,1.00004021726018,2010,1,2010-05-27
4,110,Maize-Soybean,-10.4325494422099,0.010835577244871,0.74143337988886,-11.990733823586,-10.9022411826348,-10.395268678425,-9.91791518111663,-9.10032868222523,4682.09438016927,1.00109471449685,2010,1,2010-05-27
1,116,Switchgrass,-8.18703393215868,0.00410035394619199,0.541831439760664,-9.25854756657546,-8.54132287617041,-8.18603843994519,-7.83024883211676,-7.10522369548875,17461.6672755693,0.999871375547299,2010,1,2010-05-27
2,116,Miscanthus,-9.22527158760939,0.00601134828170977,0.596157203528621,-10.447067142196,-9.60702701038309,-9.20520838200976,-8.81936869369598,-8.10114769479278,9835.07805241103,1.00045874516142,2010,1,2010-05-27
3,116,Prairie,-8.62836933933219,0.00486469048740139,0.550197835682802,-9.74848782926331,-8.9833142456671,-8.60900943324575,-8.26407018304979,-7.57727299663065,12791.6723802734,1.00005264842571,2010,1,2010-05-27
4,116,Maize-Soybean,-10.4911095125368,0.011045877339075,0.7523001632308,-12.076981745385,-10.967519654267,-10.4533105318833,-9.96775420817937,-9.13748117047808,4638.54612671436,1.00110569772939,2010,1,2010-05-27
1,123,Switchgrass,-8.23781245355633,0.00413110750222205,0.54471461079691,-9.31799191858103,-8.5940529783925,-8.23639139305641,-7.87798201430152,-7.15034551456381,17386.2153933104,0.999875213541211,2010,1,2010-05-27
2,123,Miscanthus,-9.28276125420551,0.00613717584671413,0.602445822459267,-10.5206822647361,-9.6699577602257,-9.26066340778428,-8.8729261992144,-8.15173231998673,9636.04590019898,1.00046316263994,2010,1,2010-05-27
3,123,Prairie,-8.68627142287046,0.00496994059649916,0.55396212576077,-9.81868670112018,-9.04319445155026,-8.66653500832457,-8.31861287771588,-7.62446529851418,12423.8943795725,1.00006685934093,2010,1,2010-05-27
4,123,Maize-Soybean,-10.5557167365276,0.0112800218465227,0.764671569716596,-12.1761968041815,-11.0384183890748,-10.5162369035098,-10.0222178543057,-9.17980147754746,4595.47074325197,1.00111659485023,2010,1,2010-05-27
1,130,Switchgrass,-8.28577961927577,0.00416310481417667,0.547657613899626,-9.37055725161613,-8.6453760308054,-8.28519877071644,-7.92641294350644,-7.19508702700934,17305.4767953414,0.999879185075648,2010,1,2010-05-27
2,130,Miscanthus,-9.33706800219403,0.00625826686768938,0.608673300595791,-10.5888868384947,-9.72741192784264,-9.31550253457868,-8.92415507511121,-8.1956106462865,9459.32934644409,1.00046665354764,2010,1,2010-05-27
3,130,Prairie,-8.74096775431406,0.00507294901579868,0.557734352849673,-9.87999546083786,-9.10072038955169,-8.71921921744492,-8.36997328586883,-7.67296232460028,12087.4250711713,1.00008070847312,2010,1,2010-05-27
4,130,Maize-Soybean,-10.6167469779474,0.0115031343820435,0.776709836213411,-12.2692073671372,-11.1076704569361,-10.5743661671725,-10.0758325504442,-9.21968487439411,4559.16409188948,1.00112577451201,2010,1,2010-05-27
1,1,Switchgrass,-2.1617529110028,0.0116367860030217,0.99514321029105,-4.00875349951786,-2.84381330737874,-2.20389394273587,-1.52992580916742,-0.0997204011667301,7313.159959141,1.0009935623321,2010,3,2010-07-23
2,1,Miscanthus,-0.470505926515784,0.0156274962511296,1.14548850109734,-2.57437081005208,-1.27246249943194,-0.51815063217252,0.261797029211521,1.94999997300085,5372.82457675724,1.00091484929163,2010,3,2010-07-23
3,1,Prairie,-3.09044524330787,0.0115039506322219,0.904576068049615,-4.74860075360253,-3.71931342312745,-3.13345889574151,-2.51555643041806,-1.16224413538548,6182.95618080617,1.00138429332916,2010,3,2010-07-23
4,1,Maize-Soybean,-3.23986055864696,0.0158710218051332,1.34302008896299,-5.72328639200336,-4.16123600231833,-3.27185742638226,-2.37706886513462,-0.465266094241432,7160.6960758546,1.00086714366787,2010,3,2010-07-23
1,8,Switchgrass,-4.27268641929675,0.00712128501276071,0.720516691617939,-5.62415771077183,-4.76000273668215,-4.29907028819393,-3.80713167309949,-2.803974317076,10236.9682646586,1.00062197575251,2010,3,2010-07-23
2,8,Miscanthus,-3.65665368538482,0.00813578807857546,0.764983164815336,-5.07882160414854,-4.18232426516377,-3.68402910281102,-3.16729793760798,-2.05279050149458,8841.06330302177,1.00034362087122,2010,3,2010-07-23
3,8,Prairie,-4.91575669380873,0.00635445072348855,0.679501452178436,-6.1859501184132,-5.38002440350285,-4.93467668019775,-4.48188842084727,-3.50276108319915,11434.6992351804,1.00059697507355,2010,3,2010-07-23
4,8,Maize-Soybean,-5.01130024585254,0.00863169401515263,0.862776821847561,-6.6464134775388,-5.58793356846842,-5.03770479673098,-4.45783982093191,-3.22996800035365,9990.90583164623,1.00048844082055,2010,3,2010-07-23
1,15,Switchgrass,-4.91081500150564,0.00590392596550745,0.661608295618816,-6.16862954657843,-5.35708771660934,-4.93231943478671,-4.47605862579588,-3.56407613672575,12557.9884218906,1.00043811941907,2010,3,2010-07-23
2,15,Miscanthus,-4.61981616496399,0.00624252467250066,0.681365928129597,-5.91189875632586,-5.08316061366968,-4.63979610129015,-4.18157524686605,-3.21841712268865,11913.5252754105,1.00014438462719,2010,3,2010-07-23
3,15,Prairie,-5.46754262331399,0.00519544436323181,0.635075863129798,-6.6727240048001,-5.89301610063016,-5.48081595433698,-5.05770452424529,-4.16560803954684,14941.8997208994,1.00033032067813,2010,3,2010-07-23
4,15,Maize-Soybean,-5.54680091019069,0.00644510533422075,0.747045460883663,-6.97788639233679,-6.04398616041363,-5.56549339519906,-5.06557484249468,-4.00889097374072,13434.8871702703,1.00027691244458,2010,3,2010-07-23
1,21,Switchgrass,-5.25238291993846,0.00537883583928717,0.637011365865992,-6.47232286708029,-5.67649675304779,-5.26899957113109,-4.83189849934553,-3.9612043888323,14025.4815990603,1.00033195164516,2010,3,2010-07-23
2,21,Miscanthus,-5.13536336412511,0.00529672996751718,0.646818267700695,-6.37874536382814,-5.57134121588278,-5.14645968877208,-4.71871719942196,-3.81657801301071,14912.4461485898,1.00006525284242,2010,3,2010-07-23
3,21,Prairie,-5.76289433865203,0.00474718224448682,0.617641195840476,-6.95282605801212,-6.17200919066477,-5.77155741786994,-5.36011297308285,-4.50912241668441,16927.807087129,1.00020768430445,2010,3,2010-07-23
4,21,Maize-Soybean,-5.83343569248524,0.00567310752081542,0.695628932911717,-7.17799836055163,-6.28921057615623,-5.84835013967496,-5.38711897624417,-4.41049506501015,15035.3396998296,1.00014876478698,2010,3,2010-07-23
1,28,Switchgrass,-5.54442177474721,0.00504154913276769,0.620410197752489,-6.74089368416548,-5.95677129422551,-5.55739662259847,-5.13733753933812,-4.28954193790685,15143.625028228,1.00024199880514,2010,3,2010-07-23
2,28,Miscanthus,-5.57615363018308,0.00475172715058373,0.624151137631929,-6.78747067519497,-5.99136422773871,-5.58251082838721,-5.17105634696,-4.31940962059696,17253.4735664632,1.00002830486098,2010,3,2010-07-23
3,28,Prairie,-6.01541857192567,0.00456913674442228,0.606642723111426,-7.19585616521181,-6.41331753670369,-6.02112859749238,-5.62341548587087,-4.78928313258079,17627.7820970164,1.00012320629012,2010,3,2010-07-23
4,28,Maize-Soybean,-6.07850699178561,0.00512395945537302,0.659245320101609,-7.35841648462298,-6.51004451714859,-6.08787814063997,-5.65503100274139,-4.7414505939876,16553.2297057083,1.00004055869409,2010,3,2010-07-23
1,35,Switchgrass,-5.7709447090002,0.00468448226904052,0.610575668406161,-6.95519022849462,-6.17648809210157,-5.77929547830437,-5.36891919157088,-4.54171009506633,16988.5294818104,1.00017573680705,2010,3,2010-07-23
2,35,Miscanthus,-5.91805712286386,0.0045632995445094,0.611420543524918,-7.11473135435813,-6.3234727225527,-5.91937275881791,-5.51863360430746,-4.69411880253,17952.3827168988,1.00002577437243,2010,3,2010-07-23
3,35,Prairie,-6.21129158453762,0.00447724617908261,0.600730693357364,-7.3917711456746,-6.60368685475515,-6.21438262299878,-5.82094027538296,-5.00518816932233,18002.7021049667,1.0000744042371,2010,3,2010-07-23
4,35,Maize-Soybean,-6.26859905968893,0.0048027211883917,0.636659684320535,-7.52092271455243,-6.68267027288689,-6.27564664772985,-5.85849208932863,-4.99001953055153,17572.7588175812,0.999964855174102,2010,3,2010-07-23
1,42,Switchgrass,-5.95602742270311,0.0045964605577098,0.604616220142178,-7.13116948457775,-6.357588559041,-5.96071309231331,-5.55569100123981,-4.74011976690903,17302.6455898109,1.00012561348445,2010,3,2010-07-23
2,42,Miscanthus,-6.19741261708146,0.00448045676879681,0.604379192874594,-7.39123197646963,-6.59432501217864,-6.1949482124745,-5.80000107237995,-4.99607870123077,18195.937072021,1.00004320708168,2010,3,2010-07-23
3,42,Prairie,-6.37133148881899,0.00443128937224488,0.597653341369074,-7.55007544695582,-6.75832574631118,-6.37105926322242,-5.9815553913101,-5.1797412978271,18190.2421835105,1.00004701883573,2010,3,2010-07-23
4,42,Maize-Soybean,-6.42391558822044,0.00460577668854617,0.622283638351964,-7.64888322687396,-6.8267104221071,-6.42750782301765,-6.02270497814134,-5.17569262763223,18254.5448892505,0.999913192804245,2010,3,2010-07-23
1,49,Switchgrass,-6.11251262743302,0.00453979689299167,0.601079748661141,-7.28050982820256,-6.5106208230109,-6.11606062587572,-5.71610642559515,-4.91195477405149,17530.380623498,1.00008702711523,2010,3,2010-07-23
2,49,Miscanthus,-6.43360432202499,0.00446336003622911,0.600871729359575,-7.63166377216691,-6.82601533459928,-6.4269610925793,-6.03659745354888,-5.24378081936067,18123.4010636862,1.00007226431178,2010,3,2010-07-23
3,49,Prairie,-6.50664329987566,0.00442093133697193,0.596301939242782,-7.68897682642584,-6.89387390679208,-6.50351117120549,-6.11779458714717,-5.32831418474995,18193.0244800029,1.0000332872797,2010,3,2010-07-23
4,49,Maize-Soybean,-6.55523384198348,0.0044852271066516,0.613200796595571,-7.76567003120306,-6.94987973980539,-6.55635616876283,-6.15554863947468,-5.33336881951896,18691.1724488184,0.999879494213717,2010,3,2010-07-23
1,55,Switchgrass,-6.22977489192943,0.00450840584921666,0.599348105170423,-7.40207488823596,-6.62679180516566,-6.23028159158403,-5.83302275547757,-5.03942909018825,17673.0808467351,1.00006082683583,2010,3,2010-07-23
2,55,Miscanthus,-6.61059469133657,0.00448281031844182,0.599739266591413,-7.81127562692151,-7.00134325023214,-6.60052202402874,-6.21355377622412,-5.43333045841754,17898.8134911416,1.00010254897939,2010,3,2010-07-23
3,55,Prairie,-6.60803927149485,0.00442334954050758,0.596045696700183,-7.79537885075764,-6.9953100250098,-6.60227210275454,-6.21845991544978,-5.43465881376725,18157.5226610888,1.00002884736768,2010,3,2010-07-23
4,55,Maize-Soybean,-6.65363723949666,0.00442345613797643,0.608322936080123,-7.86443124918019,-7.04503550613592,-6.65087754004201,-6.25513619113703,-5.44475903135973,18912.3254221582,0.99986146037282,2010,3,2010-07-23
1,62,Switchgrass,-6.35139041318808,0.00448610961991128,0.598391738486994,-7.52565141123431,-6.74517122646656,-6.35008368619217,-5.95623702601819,-5.16659846434324,17792.2722279589,1.00003641050123,2010,3,2010-07-23
2,62,Miscanthus,-6.7941556699176,0.00453180164771764,0.599927877792202,-8.00300105526779,-7.18290470123399,-6.78202543286323,-6.39490357851005,-5.62034858703924,17524.9303629626,1.00014131259567,2010,3,2010-07-23
3,62,Prairie,-6.71319947793425,0.00443505821214004,0.596465702020912,-7.91012133463157,-7.10014772266371,-6.70819580875417,-6.32164901022458,-5.54145287449045,18087.240063096,1.00002959211163,2010,3,2010-07-23
4,62,Maize-Soybean,-6.75569377519108,0.00438650613629184,0.605057830159787,-7.96944283941489,-7.14363776057113,-6.75135235558113,-6.35954886963229,-5.56074618985887,19026.3853615015,0.999850034057862,2010,3,2010-07-23
1,69,Switchgrass,-6.45998256501817,0.00447515672586168,0.598263585753119,-7.63314091023921,-6.8538543810039,-6.45896281019453,-6.06683512851709,-5.27557725859942,17871.8141815136,1.00001717228361,2010,3,2010-07-23
2,69,Miscanthus,-6.95805976250261,0.0047506754987556,0.6012683459067,-8.1721122324736,-7.34537730399516,-6.94514599396362,-6.55770101016016,-5.7874752674812,16018.6513453347,1.0001818159028,2010,3,2010-07-23
3,69,Prairie,-6.80709845551511,0.00446795970193698,0.597429680865686,-8.00957060337504,-7.19544447794066,-6.80169383792654,-6.41333601034583,-5.63929520169248,17879.4886995348,1.00003483882645,2010,3,2010-07-23
4,69,Maize-Soybean,-6.84682144298122,0.00438220318142198,0.603710072749628,-8.07161064867056,-7.23347848019969,-6.84275011953489,-6.45013871319713,-5.66964284310731,18978.9343874787,0.999846462064014,2010,3,2010-07-23
1,76,Switchgrass,-6.55807275950938,0.00447258205183141,0.59873692794408,-7.73503472904869,-6.95208123209831,-6.55624702895402,-6.16519261128523,-5.38049308990753,17920.7200720472,1.00000199183222,2010,3,2010-07-23
