crop,years,2.5%,97.5
Maize-Soybean,2010 vs 2013,-0.38,0.789
Maize-Soybean,2011 vs 2014,-0.285,0.652
Miscanthus,2010 vs 2014,0.508,1.39
Prairie,2010 vs 2014,0.64,1.49
Switchgrass,2010 vs 2014,0.344,1.26
