"Year","Treatment","Block","Sample","Upper","Lower","Pct_dead","Mass_root","Mass_rhizome","Soil_length","Biomass_notes","Num_cores","Fert_kg_ha","Pct_N_root","Pct_C_root","CN_notes_root","Pct_N_rhizome","Pct_C_rhizome","CN_notes_rhizome","Midpoint","Layer_fraction","Mass_total","Biomass_g_cm3","Biomass_g_m2","Mass_root_C","Mass_root_N","Mass_rhizome_C","Mass_rhizome_N","Mass_total_C","Mass_total_N","C_g_cm3","N_g_cm3","C_g_m2","N_g_m2"
2011,"Maize",0,"5",10,30,"40",0.05,0,60,"",3,180,1.48,41.56,"",NA,NA,NA,20,1,0.05,7.30935274588883e-05,14.6187054917777,0.02078,0.00074,0,0,0.02078,0.00074,3.0377670011914e-05,1.08178420639155e-06,6.0755340023828,0.216356841278309
2011,"Maize",0,"5",30,50,"",0.03,0,60,"",3,180,1.08,38.51,"",NA,NA,NA,40,1,0.03,4.3856116475333e-05,8.7712232950666,0.011553,0.000324,0,0,0.011553,0.000324,1.68889904546507e-05,4.73646057933596e-07,3.37779809093015,0.0947292115867193
2011,"Maize",0,"5",50,100,"1",0.1,0,150,"",3,180,0.87,36.42,"",NA,NA,NA,75,1,0.1,5.84748219671107e-05,29.2374109835553,0.03642,0.00087,0,0,0.03642,0.00087,2.12965301604217e-05,5.08730951113863e-07,10.6482650802109,0.254365475556931
2011,"Maize",0,"5",100,126,"",0.04,0,119,"",3,180,0.7,28.45,"",NA,NA,NA,119.833333333333,1.52564102564103,0.04,2.94831035128289e-05,7.66560691333552,0.01138,0.00028,0,0,0.01138,0.00028,8.38794294939982e-06,2.06381724589802e-07,2.18086516684395,0.0536592483933486
2011,"Maize",0,"6",0,10,"5",1.03,0,30,"",3,180,0.65,46.16,"",NA,NA,NA,5,1,1.03,0.0030114533313062,301.14533313062,0.475448,0.006695,0,0,0.475448,0.006695,0.00139008685773094,1.95744466534903e-05,139.008685773094,1.95744466534903
2011,"Maize",0,"6",10,30,"10",0.2,0,60,"",3,180,1.27,37.86,"",NA,NA,NA,20,1,0.2,0.000292374109835553,58.4748219671107,0.07572,0.00254,0,0,0.07572,0.00254,0.000110692837983741,3.71315119491153e-06,22.1385675967481,0.742630238982306
2011,"Maize",0,"6",30,50,"0",0.07,0,60,"",3,180,0.97,39.25,"",NA,NA,NA,40,1,0.07,0.000102330938442444,20.4661876884887,0.027475,0.000679,0,0,0.027475,0.000679,4.01648933386591e-05,9.92610102891704e-07,8.03297866773183,0.198522020578341
2011,"Maize",0,"6",50,100,"2",0.09,0,142,"",3,180,0.95,38.92,"",NA,NA,NA,73.6666666666667,0.946666666666667,0.09,5.55922603208446e-05,27.7961301604223,0.035028,0.000855,0,0,0.035028,0.000855,2.16365077168727e-05,5.28126473048024e-07,10.8182538584364,0.264063236524012
2011,"Maize",0,"6",100,126,"0",0,0,48,"",3,180,0.74,36.16,"",NA,NA,NA,108,0.615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Maize",0,"7",0,10,"5",0.18,0,30,"",3,180,0.66,45.38,"",NA,NA,NA,5,1,0.18,0.000526273397703996,52.6273397703996,0.081684,0.001188,0,0,0.081684,0.001188,0.000238822867878073,3.47340442484637e-06,23.8822867878073,0.347340442484637
2011,"Maize",0,"7",10,30,"5",0.09,0,60,"",3,180,1.52,40.01,"",NA,NA,NA,20,1,0.09,0.000131568349425999,26.3136698851998,0.036009,0.001368,0,0,0.036009,0.001368,5.26404966053422e-05,1.99983891127519e-06,10.5280993210684,0.399967782255037
2011,"Maize",0,"7",30,50,"",NA,0,60,"",3,180,NA,NA,"Sample Lost",NA,NA,NA,40,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2011,"Maize",0,"7",50,100,"5",0.15,0,150,"",3,180,0.96,37.46,"",NA,NA,NA,75,1,0.15,8.7712232950666e-05,43.856116475333,0.05619,0.00144,0,0,0.05619,0.00144,3.28570024633195e-05,8.42037436326394e-07,16.4285012316597,0.421018718163197
2011,"Maize",0,"7",100,126,"0",0.02,0,124,"",3,180,0.33,22.75,"",NA,NA,NA,120.666666666667,1.58974358974359,0.02,1.41471343468816e-05,3.67825493018922,0.00455,6.6e-05,0,0,0.00455,6.6e-05,3.21847306391557e-06,4.66855433447093e-08,0.836802996618047,0.0121382412696244
