tube,offset,measured,estimated,source
1,25,NA,25,image
2,39,NA,39,image
3,23,NA,23,image
4,25,NA,25,image
5,24,NA,24,image
6,23,NA,23,image
7,24,NA,24,image
8,23,NA,23,image
9,36,NA,36,image
10,23,NA,23,image
11,23,NA,23,image
12,23,NA,23,image
13,23,NA,23,image
14,24,NA,24,image
15,28,NA,28,image
16,23,NA,23,image
17,32,NA,32,image
18,30,NA,30,image
19,23,NA,23,image
20,23,NA,23,image
21,23,NA,23,image
22,23,NA,23,image
23,24,NA,24,image
24,23,NA,23,image
25,23,NA,23,image
26,23,NA,23,image
27,23,NA,23,image
28,23,NA,23,image
29,23,NA,23,image
30,23,NA,23,image
31,23,NA,23,image
32,23,NA,23,image
33,23,NA,23,image
34,23,NA,23,image
35,23,NA,23,image
36,23,NA,23,image
37,23,NA,23,image
38,23,NA,23,image
39,36,NA,36,image
40,23,NA,23,image
41,NA,NA,NA,image
42,23,NA,23,image
43,23,NA,23,image
44,23,NA,23,image
45,23,NA,23,image
46,23,NA,23,image
47,NA,NA,NA,image
48,NA,NA,NA,image
49,23,NA,23,image
50,23,NA,23,image
51,23,NA,23,image
52,28,NA,28,image
53,23,NA,23,image
54,23,NA,23,image
55,23,NA,23,image
56,23,NA,23,image
57,NA,NA,NA,image
58,23,NA,23,image
59,23,NA,23,image
60,22,NA,22,image
61,23,NA,23,image
62,23,NA,23,image
63,23,NA,23,image
64,23,NA,23,image
65,23,NA,23,image
66,23,NA,23,image
67,23,NA,23,image
68,28,NA,28,image
69,NA,NA,NA,image
70,23,NA,23,image
71,23,NA,23,image
72,23,NA,23,image
73,NA,NA,NA,image
74,NA,NA,NA,image
75,NA,NA,NA,image
76,NA,NA,NA,image
77,23,NA,23,image
78,23,NA,23,image
79,22,NA,22,image
80,23,NA,23,image
81,NA,NA,NA,image
82,NA,NA,NA,image
83,NA,NA,NA,image
84,NA,NA,NA,image
85,NA,NA,NA,image
86,NA,NA,NA,image
87,23,NA,23,image
88,23,NA,23,image
89,28,NA,28,image
90,23,NA,23,image
91,23,NA,23,image
92,NA,NA,NA,image
93,23,NA,23,image
94,23,NA,23,image
95,23,NA,23,image
96,28,NA,28,image
