file, h, v, unit
2011-08-01.CAL, 2.200825E-002, 2.298851E-002, mm
2011-08-04.CAL, 2.205882E-002, 2.304147E-002, mm
2011-08-05.CAL, 2.209131E-002, 2.298851E-002, mm
CAL-EF2011_T097_L011_2011.04.05_101246_001_MD.CAL, 2.118003E-002, 2.197802E-002, mm
