tube,offset,measured,estimated,source
1,25,NA,25,image
2,24,NA,24,image
3,26,NA,26,image
4,NA,NA,NA,image
5,26,NA,26,image
6,24,NA,24,image
7,24,NA,24,image
8,NA,NA,NA,image
9,28,NA,28,image
10,NA,NA,NA,image
11,23,NA,23,image
12,23,NA,23,image
13,27,NA,27,image
14,NA,NA,NA,image
15,35,NA,35,image
16,33,NA,33,image
17,24,NA,24,image
18,37,NA,37,image
19,NA,NA,NA,image
20,28,NA,28,image
21,28,NA,28,image
22,23,NA,23,image
23,25,NA,25,image
24,NA,NA,NA,image
25,28,NA,28,image
26,28,NA,28,image
27,28,NA,28,image
28,24,NA,24,image
29,21,NA,21,image
30,23,NA,23,image
31,23,NA,23,image
32,27,NA,27,image
33,28,NA,28,image
34,23,NA,23,image
35,25,NA,25,image
36,23,NA,23,image
37,28,NA,28,image
38,23,NA,23,image
39,32,NA,32,image
40,23,NA,23,image
41,NA,NA,NA,image
42,23,NA,23,image
43,25,NA,25,image
44,22,NA,22,image
45,23,NA,23,image
46,NA,NA,NA,image
47,NA,NA,NA,image
48,22,NA,22,image
49,28,NA,28,image
50,26,NA,26,image
51,32,NA,32,image
52,28,NA,28,image
53,24,NA,24,image
54,28,NA,28,image
55,24,NA,24,image
56,23,NA,23,image
57,27,NA,27,image
58,23,NA,23,image
59,NA,NA,NA,image
60,NA,NA,NA,image
61,26,NA,26,image
62,NA,NA,NA,image
63,27,NA,27,image
64,24,NA,24,image
65,22,NA,22,image
66,22,NA,22,image
67,28,NA,28,image
68,30,NA,30,image
69,23,NA,23,image
70,25,NA,25,image
71,28,NA,28,image
72,23,NA,23,image
73,26,NA,26,image
74,NA,NA,NA,image
75,23,NA,23,image
76,22,NA,22,image
77,24,NA,24,image
78,23,NA,23,image
79,27,NA,27,image
80,26,NA,26,image
81,28,NA,28,image
82,28,NA,28,image
83,28,NA,28,image
84,33,NA,33,image
85,26,NA,26,image
86,23,NA,23,image
87,28,NA,28,image
88,23,NA,23,image
89,24,NA,24,image
90,23,NA,23,image
91,23,NA,23,image
92,23,NA,23,image
93,26,NA,26,image
94,24,NA,24,image
95,28,NA,28,image
96,35,NA,35,image
