file, h, v, unit
2014-06-14.CAL, 2.118644E-002, 2.188184E-002, mm
2014.08.13.CAL, 2.243589E-002, 2.358491E-002, mm
2014.08.14.CAL, 2.017291E-002, 2.093023E-002, mm
2014.08.15.CAL, 2.023121E-002, 2.097902E-002, mm
2014.9.16.CAL, 2.161383E-002, 2.325581E-002, mm
2014.9.17.CAL, 2.170963E-002, 2.320675E-002, mm
2014.9.19.CAL, 2.165088E-002, 2.331002E-002, mm
