file, h, v, unit
05_21.CAL, 2.366864E-002, 2.325581E-002, mm
05_22.CAL, 2.257636E-002, 2.594810E-002, mm
05_23.CAL, 2.225519E-002, 2.314815E-002, mm
06_05(A).CAL, 2.247191E-002, 2.301255E-002, mm
06_20.CAL, 2.242152E-002, 2.325581E-002, mm
06_21.CAL, 2.616279E-002, 2.721088E-002, mm
06_22.CAL, 2.593193E-002, 2.742616E-002, mm
08_02.CAL, 2.192243E-002, 2.288330E-002, mm
08_06.CAL, 2.199413E-002, 2.301255E-002, mm
08_31.CAL, 2.150538E-002, 2.212389E-002, mm
10_25.CAL, 2.266289E-002, 2.202643E-002, mm
