file, h, v, unit
2013-08-12.CAL, 2.325581E-002, 2.428256E-002, mm
2013-08-13.CAL, 2.328967E-002, 2.422907E-002, mm
2013-08-14.CAL, 2.318841E-002, 2.422907E-002, mm
2013-08-15.CAL, 2.335766E-002, 2.422907E-002, mm
2013.06.17.CAL, 2.439024E-002, 2.625298E-002, mm
2013.06.18.CAL, 2.297090E-002, 2.380952E-002, mm
2013.06.19.CAL, 2.302158E-002, 2.398082E-002, mm
