src_rownum,src_tube,src_location,src_date,src_time,src_session,src_tech,notes,has_roots,crop,rep,assigned_num,assigned_tube,assigned_loc,assigned_imgname
4812,13,75,2010.05.28,160349,1,AP,,n,Corn,NA,77,1,77,CONSISTEST_T001_L077_2011.06.06_155541_001_CKB.jpg
5027,36,25,2010.05.27,133342,1,AP,,y,Misc,NA,16,1,16,CONSISTEST_T001_L016_2011.06.06_155541_001_CKB.jpg
5044,37,15,2010.05.27,153605,1,AP,,y,Misc,NA,2,1,2,CONSISTEST_T001_L002_2011.06.06_155541_001_CKB.jpg
5100,40,10,2010.05.27,155215,1,AP,,y,Misc,NA,68,1,68,CONSISTEST_T001_L068_2011.06.06_155541_001_CKB.jpg
5217,46,25,2010.05.28,113620,1,AP,,y,Misc,NA,39,1,39,CONSISTEST_T001_L039_2011.06.06_155541_001_CKB.jpg
5349,54,20,2010.05.28,150601,1,AP,,y,Switch,NA,37,1,37,CONSISTEST_T001_L037_2011.06.06_155541_001_CKB.jpg
5820,81,10,2010.05.27,140920,1,AP,,y,Prairie,NA,32,1,32,CONSISTEST_T001_L032_2011.06.06_155541_001_CKB.jpg
5859,81,55,2010.05.27,140948,1,AP,,y,Prairie,1,81,1,81,CONSISTEST_T001_L081_2011.06.06_155541_001_CKB.jpg
5859,81,55,2010.05.27,140948,1,AP,,y,Prairie,2,74,1,74,CONSISTEST_T001_L074_2011.06.06_155541_001_CKB.jpg
5859,81,55,2010.05.27,140948,1,AP,,y,Prairie,3,112,2,12,CONSISTEST_T002_L012_2011.06.06_155541_001_CKB.jpg
6012,91,20,2010.05.28,110804,1,AP,,y,Prairie,NA,93,1,93,CONSISTEST_T001_L093_2011.06.06_155541_001_CKB.jpg
6121,96,90,2010.05.28,115548,1,AP,,n,Prairie,NA,117,2,17,CONSISTEST_T002_L017_2011.06.06_155541_001_CKB.jpg
6195,8,40,2010.07.26,110256,3,AP,,y,Corn,NA,11,1,11,CONSISTEST_T001_L011_2011.06.06_155541_001_CKB.jpg
6353,16,5,2010.07.23,141747,3,AP,,y,Corn,NA,53,1,53,CONSISTEST_T001_L053_2011.06.06_155541_001_CKB.jpg
6540,25,20,2010.07.26,123150,3,AP,,y,Misc,NA,79,1,79,CONSISTEST_T001_L079_2011.06.06_155541_001_CKB.jpg
6574,26,85,2010.07.26,123730,3,AP,,y,Misc,1,119,2,19,CONSISTEST_T002_L019_2011.06.06_155541_001_CKB.jpg
6574,26,85,2010.07.26,123730,3,AP,,y,Misc,2,40,1,40,CONSISTEST_T001_L040_2011.06.06_155541_001_CKB.jpg
6574,26,85,2010.07.26,123730,3,AP,,y,Misc,3,50,1,50,CONSISTEST_T001_L050_2011.06.06_155541_001_CKB.jpg
6701,32,85,2010.07.26,120418,3,AP,,n,Misc,NA,25,1,25,CONSISTEST_T001_L025_2011.06.06_155541_001_CKB.jpg
6713,33,40,2010.07.23,125831,3,AP,,y,Misc,1,12,1,12,CONSISTEST_T001_L012_2011.06.06_155541_001_CKB.jpg
6713,33,40,2010.07.23,125831,3,AP,,y,Misc,2,34,1,34,CONSISTEST_T001_L034_2011.06.06_155541_001_CKB.jpg
6713,33,40,2010.07.23,125831,3,AP,,y,Misc,3,70,1,70,CONSISTEST_T001_L070_2011.06.06_155541_001_CKB.jpg
6761,35,80,2010.07.23,130837,3,AP,,n,Misc,NA,14,1,14,CONSISTEST_T001_L014_2011.06.06_155541_001_CKB.jpg
6950,45,25,2010.07.22,150127,3,AP,,y,Misc,NA,1,1,1,CONSISTEST_T001_L001_2011.06.06_155541_001_CKB.jpg
7147,57,10,2010.07.23,114139,3,AP,,y,Switch,1,106,2,6,CONSISTEST_T002_L006_2011.06.06_155541_001_CKB.jpg
7147,57,10,2010.07.23,114139,3,AP,,y,Switch,2,115,2,15,CONSISTEST_T002_L015_2011.06.06_155541_001_CKB.jpg
7147,57,10,2010.07.23,114139,3,AP,,y,Switch,3,92,1,92,CONSISTEST_T001_L092_2011.06.06_155541_001_CKB.jpg
7166,58,5,2010.07.23,114503,3,AP,,y,Switch,NA,48,1,48,CONSISTEST_T001_L048_2011.06.06_155541_001_CKB.jpg
7342,69,70,2010.07.23,110146,3,AP,,y,Switch,1,99,1,99,CONSISTEST_T001_L099_2011.06.06_155541_001_CKB.jpg
7342,69,70,2010.07.23,110146,3,AP,,y,Switch,2,29,1,29,CONSISTEST_T001_L029_2011.06.06_155541_001_CKB.jpg
7342,69,70,2010.07.23,110146,3,AP,,y,Switch,3,42,1,42,CONSISTEST_T001_L042_2011.06.06_155541_001_CKB.jpg
7438,74,50,2010.07.23,154317,3,AP,,y,Prairie,NA,22,1,22,CONSISTEST_T001_L022_2011.06.06_155541_001_CKB.jpg
7776,91,40,2010.07.22,140347,3,AP,,n,Prairie,NA,64,1,64,CONSISTEST_T001_L064_2011.06.06_155541_001_CKB.jpg
7783,91,75,2010.07.22,140409,3,AP,,y,Prairie,NA,27,1,27,CONSISTEST_T001_L027_2011.06.06_155541_001_CKB.jpg
7797,92,45,2010.07.22,141002,3,AP,,y,Prairie,NA,94,1,94,CONSISTEST_T001_L094_2011.06.06_155541_001_CKB.jpg
7819,93,55,2010.07.22,161447,3,AP,,y,Prairie,NA,66,1,66,CONSISTEST_T001_L066_2011.06.06_155541_001_CKB.jpg
7827,93,95,2010.07.22,161512,3,AP,,y,Prairie,NA,23,1,23,CONSISTEST_T001_L023_2011.06.06_155541_001_CKB.jpg
7932,2,95,2010.08.12,134625,4,AP,,n,Corn,NA,54,1,54,CONSISTEST_T001_L054_2011.06.06_155541_001_CKB.jpg
8072,10,40,2010.08.18,145951,4,AP,,y,Corn,1,55,1,55,CONSISTEST_T001_L055_2011.06.06_155541_001_CKB.jpg
8072,10,40,2010.08.18,145951,4,AP,,y,Corn,2,65,1,65,CONSISTEST_T001_L065_2011.06.06_155541_001_CKB.jpg
8072,10,40,2010.08.18,145951,4,AP,,y,Corn,3,97,1,97,CONSISTEST_T001_L097_2011.06.06_155541_001_CKB.jpg
8125,12,95,2010.08.18,144747,4,AP,,y,Corn,1,67,1,67,CONSISTEST_T001_L067_2011.06.06_155541_001_CKB.jpg
8125,12,95,2010.08.18,144747,4,AP,,y,Corn,2,107,2,7,CONSISTEST_T002_L007_2011.06.06_155541_001_CKB.jpg
8125,12,95,2010.08.18,144747,4,AP,,y,Corn,3,10,1,10,CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg
8309,22,60,2010.08.18,113803,4,AP,,n,Corn,NA,123,2,23,CONSISTEST_T002_L023_2011.06.06_155541_001_CKB.jpg
8349,24,50,2010.08.18,112739,4,AP,,y,Corn,1,98,1,98,CONSISTEST_T001_L098_2011.06.06_155541_001_CKB.jpg
8349,24,50,2010.08.18,112739,4,AP,,y,Corn,2,36,1,36,CONSISTEST_T001_L036_2011.06.06_155541_001_CKB.jpg
8349,24,50,2010.08.18,112739,4,AP,,y,Corn,3,87,1,87,CONSISTEST_T001_L087_2011.06.06_155541_001_CKB.jpg
8672,43,90,2010.08.17,105145,4,AP,,n,Misc,NA,85,1,85,CONSISTEST_T001_L085_2011.06.06_155541_001_CKB.jpg
8690,44,75,2010.08.17,105804,4,AP,,n,Misc,NA,56,1,56,CONSISTEST_T001_L056_2011.06.06_155541_001_CKB.jpg
8988,59,80,2010.08.17,133619,4,AP,,n,Switch,NA,110,2,10,CONSISTEST_T002_L010_2011.06.06_155541_001_CKB.jpg
9128,70,45,2010.08.17,120531,4,AP,blurry,n,Switch,NA,58,1,58,CONSISTEST_T001_L058_2011.06.06_155541_001_CKB.jpg
9147,71,35,2010.08.17,121032,4,AP,,y,Switch,NA,104,2,4,CONSISTEST_T002_L004_2011.06.06_155541_001_CKB.jpg
9192,73,50,2010.08.12,104559,4,AP,,y,Prairie,NA,45,1,45,CONSISTEST_T001_L045_2011.06.06_155541_001_CKB.jpg
9298,78,55,2010.08.12,112152,4,AP,,n,Prairie,NA,75,1,75,CONSISTEST_T001_L075_2011.06.06_155541_001_CKB.jpg
9314,79,30,2010.08.12,113234,4,AP,,y,Prairie,NA,91,1,91,CONSISTEST_T001_L091_2011.06.06_155541_001_CKB.jpg
9334,80,30,2010.08.12,112807,4,AP,,n,Prairie,NA,35,1,35,CONSISTEST_T001_L035_2011.06.06_155541_001_CKB.jpg
9449,86,1,2010.08.17,152750,4,AP,image filled with duct tape,n,Prairie,NA,7,1,7,CONSISTEST_T001_L007_2011.06.06_155541_001_CKB.jpg
9510,88,95,2010.08.17,153917,4,AP,,y,Prairie,NA,118,2,18,CONSISTEST_T002_L018_2011.06.06_155541_001_CKB.jpg
9562,92,25,2010.08.17,102553,4,AP,,y,Prairie,1,18,1,18,CONSISTEST_T001_L018_2011.06.06_155541_001_CKB.jpg
9562,92,25,2010.08.17,102553,4,AP,,y,Prairie,2,5,1,5,CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg
9562,92,25,2010.08.17,102553,4,AP,,y,Prairie,3,61,1,61,CONSISTEST_T001_L061_2011.06.06_155541_001_CKB.jpg
9574,92,85,2010.08.17,102631,4,AP,,n,Prairie,NA,121,2,21,CONSISTEST_T002_L021_2011.06.06_155541_001_CKB.jpg
9635,95,75,2010.08.17,114319,4,AP,,y,Prairie,1,44,1,44,CONSISTEST_T001_L044_2011.06.06_155541_001_CKB.jpg
9635,95,75,2010.08.17,114319,4,AP,,y,Prairie,2,28,1,28,CONSISTEST_T001_L028_2011.06.06_155541_001_CKB.jpg
9635,95,75,2010.08.17,114319,4,AP,,y,Prairie,3,96,1,96,CONSISTEST_T001_L096_2011.06.06_155541_001_CKB.jpg
9732,3,105,2011.04.05,120402,1,MD,,n,Corn,NA,114,2,14,CONSISTEST_T002_L014_2011.06.06_155541_001_CKB.jpg
9997,18,100,2011.03.30,153849,1,MM,,y,Corn,NA,80,1,80,CONSISTEST_T001_L080_2011.06.06_155541_001_CKB.jpg
10069,23,55,2011.04.01,115650,1,MM,,y,Corn,NA,46,1,46,CONSISTEST_T001_L046_2011.06.06_155541_001_CKB.jpg
10281,40,20,2011.03.30,123027,1,MM,,y,Misc,1,124,2,24,CONSISTEST_T002_L024_2011.06.06_155541_001_CKB.jpg
10281,40,20,2011.03.30,123027,1,MM,,y,Misc,2,43,1,43,CONSISTEST_T001_L043_2011.06.06_155541_001_CKB.jpg
10281,40,20,2011.03.30,123027,1,MM,,y,Misc,3,90,1,90,CONSISTEST_T001_L090_2011.06.06_155541_001_CKB.jpg
10331,42,40,2011.03.30,152546,1,MM,,y,Misc,NA,73,1,73,CONSISTEST_T001_L073_2011.06.06_155541_001_CKB.jpg
10348,44,5,2011.03.30,145515,1,MM,,n,Misc,NA,69,1,69,CONSISTEST_T001_L069_2011.06.06_155541_001_CKB.jpg
10611,57,105,2011.04.05,111002,1,MD,,n,Switch,NA,30,1,30,CONSISTEST_T001_L030_2011.06.06_155541_001_CKB.jpg
10628,58,70,2011.03.29,153017,1,MD,,y,Switch,NA,72,1,72,CONSISTEST_T001_L072_2011.06.06_155541_001_CKB.jpg
10634,58,100,2011.03.29,153037,1,MD,,n,Switch,NA,95,1,95,CONSISTEST_T001_L095_2011.06.06_155541_001_CKB.jpg
10643,59,30,2011.03.29,152323,1,MD,,n,Switch,NA,116,2,16,CONSISTEST_T002_L016_2011.06.06_155541_001_CKB.jpg
10725,62,95,2011.03.30,134244,1,MM,,n,Switch,NA,24,1,24,CONSISTEST_T001_L024_2011.06.06_155541_001_CKB.jpg
10814,66,75,2011.03.30,142557,1,MM,,y,Switch,NA,76,1,76,CONSISTEST_T001_L076_2011.06.06_155541_001_CKB.jpg
11107,82,40,2011.03.29,155715,1,MD,,n,Prairie,NA,6,1,6,CONSISTEST_T001_L006_2011.06.06_155541_001_CKB.jpg
11273,90,60,2011.04.01,101533,1,MM,,n,Prairie,NA,52,1,52,CONSISTEST_T001_L052_2011.06.06_155541_001_CKB.jpg
6123,97,3,2010.05.28,95759,1,AP,calibration image saved as calib.jpg,,,NA,NA,NA,NA,CONSISTEST_calib.jpg.jpg
