date,tube,location,bottom of tape,top of soil,bottom of light,22 cm mark,visible number/label?,Notes
2014-08-13,1,1,100,NA,75,NA,No,
2014-08-13,1,5,100,NA,95,NA,No,
2014-08-13,1,10,100,NA,90,NA,No,
2014-08-13,2,1,NA,0,NA,NA,No,
2014-08-13,3,1,NA,0,100,NA,No,
2014-08-13,4,1,NA,0,NA,NA,No,
2014-08-13,5,1,NA,0,NA,NA,No,
2014-08-13,6,1,NA,NA,100,NA,No,
2014-08-13,7,1,NA,0,NA,NA,No,
2014-08-13,8,1,NA,NA,100,NA,No,
2014-08-13,25,1,NA,NA,100,NA,No,
2014-08-13,26,1,25,25,20,NA,Yes,
2014-08-13,27,1,100,NA,80,30,Yes,
2014-08-13,28,1,100,NA,75,100,Yes,
2014-08-13,29,1,NA,0,NA,NA,No,
2014-08-13,30,1,100,NA,65,75,Yes,
2014-08-13,31,1,80,80,60,80,No,
2014-08-13,32,1,100,NA,75,100,Yes,
2014-08-15,33,1,35,NA,100,NA,Yes,
2014-08-15,34,1,75,NA,100,NA,Yes,
2014-08-15,35,1,15,85,100,NA,Yes,
2014-08-15,36,1,45,60,100,NA,Yes,
2014-08-15,37,1,70,55,100,NA,Yes,
2014-08-15,38,1,100,NA,85,NA,Yes,
2014-08-15,39,1,100,NA,100,NA,Yes,
2014-08-15,39,5,100,NA,NA,NA,No,
2014-08-15,39,10,100,0,80,NA,No,
2014-08-15,40,1,100,NA,100,NA,Yes,
2014-08-15,42,1,100,NA,55,10,Yes,
2014-08-15,43,1,80,80,80,20,Yes,
2014-08-15,43,5,100,NA,25,40,Yes,
2014-08-15,44,1,NA,0,100,35,Yes,
2014-08-15,45,1,100,50,70,40,Yes,
2014-08-15,47,1,NA,0,35,NA,Yes,
2014-08-14,48,1,15,15,10,NA,Yes,
2014-08-14,49,1,100,NA,85,NA,Yes,
2014-08-14,49,5,NA,0,20,NA,No,
2014-08-14,50,1,5,NA,100,15,Yes,
2014-08-14,51,1,100,NA,80,NA,No,
2014-08-14,51,5,100,NA,45,NA,No,
2014-08-14,51,10,100,NA,90,NA,No,
2014-08-14,51,15,100,NA,75,NA,No,
2014-08-14,51,20,100,NA,45,NA,No,
2014-08-14,52,1,100,NA,NA,15,Yes,
2014-08-14,52,5,NA,0,100,NA,No,
2018-08-14,53,1,70,NA,100,20,Yes,
2014-08-14,54,1,100,NA,90,NA,Yes,
2014-08-14,55,1,100,NA,95,10,Yes,
2014-08-14,56,1,100,NA,35,25,Yes,
2014-08-15,57,1,100,NA,80,100,Yes,
2014-08-15,58,1,10,,90,NA,Yes,
2014-08-15,61,1,100,NA,85,40,Yes,
2014-08-15,62,1,NA,NA,100,NA,No,
2014-08-15,62,5,NA,0,100,NA,No,
2014-08-15,63,1,25,80,100,NA,Yes,
2014-08-15,63,5,NA,65,100,NA,No,
2014-08-15,64,1,100,NA,100,NA,Yes,
2014-08-15,64,5,NA,0,20,NA,No,
2014-08-15,65,1,100,NA,90,NA,Yes,
2014-08-15,66,1,100,NA,35,90,Yes,
2014-08-15,69,1,15,10,45,NA,Yes,
2014-08-15,70,1,85,NA,100,NA,Yes,
2014-08-15,71,1,100,NA,60,NA,Yes,
2014-08-15,72,1,100,NA,80,NA,Yes,
2014-08-14,73,1,NA,0,100,NA,No,
2014-08-14,75,1,100,75,65,50,No,
2014-08-14,76,1,20,20,15,NA,Yes,
2014-08-14,78,1,100,NA,95,NA,Yes,
2014-08-14,78,5,100,NA,100,80,Yes,
2014-08-14,79,1,85,85,50,NA,No,
2014-08-14,80,1,85,75,85,NA,Yes,
2014-08-15,81,1,100,NA,85,NA,Yes,
2014-08-15,81,5,100,NA,75,100,Yes,
2014-08-15,82,1,100,NA,100,NA,Yes,
2014-08-15,82,5,NA,35,85,NA,No,
2014-08-15,83,1,80,NA,100,NA,Yes,
2014-08-15,83,5,NA,NA,100,NA,No,
2014-08-15,84,1,60,NA,100,NA,Yes,
2014-08-15,84,5,NA,NA,100,NA,No,
2014-08-15,84,10,NA,0,85,NA,No,
2014-08-15,85,1,NA,NA,NA,NA,Yes,
2014-08-15,86,1,80,NA,100,NA,No,
2014-08-15,89,1,80,20,95,NA,Yes,
2014-08-15,90,1,NA,0,80,NA,Yes,
2014-08-15,91,1,100,NA,75,5,Yes,
2014-08-15,92,1,100,NA,65,NA,Yes,
2014-08-15,92,5,NA,5,15,NA,No,
2014-08-15,93,1,55,NA,100,NA,Yes,
2014-08-15,94,1,100,NA,55,30,Yes,
2014-08-15,95,1,100,NA,65,50,Yes,
2014-08-15,95,5,NA,0,100,NA,No,
2014-08-15,96,1,100,NA,100,NA,Yes,
2014-08-15,96,5,100,NA,100,NA,No,
2014-08-15,96,10,NA,NA,100,NA,No,
