Code,tube,date,offset,rowposition,notes
0c1,1,2014-09-17,38,in,
0c2,2,2014-11-10,22,btwn,
0c3,3,2014-11-10,25,in,
0c4,4,2014-11-10,33,btwn,
0c5,5,2014-09-19,21,in,
0c6,6,2014-11-10,23,btwn,
0c7,7,2014-11-10,19,in,
0c8,8,2014-11-10,25,btwn,
1c1,9,,,,Not present in 2014
1c2,10,,,,Not present in 2014
1c3,11,,,,Not present in 2014
1c4,12,,,,Not present in 2014
2c1,13,,,,Not present in 2014
2c2,14,,,,Not present in 2014
2c3,15,,,,Not present in 2014
2c4,16,,,,Not present in 2014
3c1,17,,,,Not present in 2014
3c2,18,,,,Not present in 2014
3c3,19,,,,Not present in 2014
3c4,20,,,,Not present in 2014
4c1,21,,,,Not present in 2014
4c2,22,,,,Not present in 2014
4c3,23,,,,Not present in 2014
4c4,24,,,,Not present in 2014
0m1,25,,,,
0m3,26,,,,
0m5,27,,,,
0m6,28,,,,
0m7,29,,,,
0m9,30,,,,
0m10,31,,,,
0m11,32,,,,
1m1,33,,,,
1m2,34,,,,
1m3,35,,,,
1m4,36,2014-09-16,24,,
2m1,37,,,,
2m2,38,,,,
2m3,39,,,,
2m4,40,,,,
3m1,41,,,,
3m2,42,,,,
3m3,43,,,,
3m4,44,,,,
4m1,45,,,,
4m2,46,,,,
4m3,47,,,,
4m4,48,,,,
0s2,49,,,,
0s3,50,,,,
0s5,51,,,,
0s6,52,,,,
0s8,53,,,,
0s9,54,,,,
0s11,55,,,,
0s12,56,,,,
1s1,57,,,,
1s2,58,,,,
1s3,59,,,,
1s4,60,2014-09-16,28,,
2s1,61,,,,
2s2,62,,,,
2s3,63,,,,
2s4,64,,,,
3s1,65,,,,
3s2,66,,,,
3s3,67,,,,
3s4,68,,,,
4s1,69,,,,
4s2,70,,,,
4s3,71,,,,
4s4,72,2014-09-19,24,,
0p2,73,,,,
0p3,74,,,,
0p5,75,,,,
0p6,76,,,,
0p7,77,,,,
0p9,78,,,,
0p11,79,,,,
0p12,80,,,,
1p1,81,,,,
1p2,82,,,,
1p3,83,,,,
1p4,84,2014-09-17,35,,
2p1,85,,,,
2p2,86,,,,
2p3,87,,,,
2p4,88,,,,
3p1,89,,,,
3p2,90,,,,
3p3,91,,,,
3p4,92,,,,
4p1,93,,,,
4p2,94,,,,
4p3,95,,,,
4p4,96,,,,
