date,tube,location,bottom of tape,top of soil,bottom of light,22 cm mark,visible number/label?,Notes
2011-04-05,1,2,95,NA,100,80,Yes,
2011-04-05,6,2,100,NA,45,NA,Yes,
2011-03-29,9,2,100,NA,25,NA,Yes,
2011-03-30,14,2,100,NA,100,NA,Yes,
2011-03-30,15,2,100,NA,100,NA,Yes,
2011-03-30,15,5,NA,65,70,NA,No,
2011-04-01,17,2,85,80,40,10,Yes,
2011-03-30,18,2,100,NA,100,100,Yes,
2011-03-30,18,5,100,NA,60,NA,No,
2011-03-30,18,10,NA,0,30,NA,No,
2011-03-30,19,2,100,NA,75,100,Yes,
2011-03-30,20,2,95,NA,100,NA,Yes,
2011-04-01,21,2,100,NA,100,NA,Yes,
2011-04-01,22,2,100,NA,60,NA,Yes,
2011-04-01,23,2,100,NA,50,NA,Yes,
2011-04-01,24,2,100,NA,40,15,Yes,
2011-04-05,25,2,100,NA,100,25,Yes,
2011-03-30,37,2,70,NA,100,NA,Yes,
2011-03-30,38,2,20,80,90,NA,Yes,
2011-03-30,40,2,90,75,15,NA,Yes,
2011-03-30,41,2,100,NA,25,NA,Yes,
2011-03-30,42,2,85,80,85,5,Yes,
2011-04-01,45,2,100,NA,20,15,Yes,
2011-04-01,46,2,100,NA,100,20,Yes,
2011-04-01,47,2,95,55,80,NA,Yes,
2011-04-05,58,1,75,75,40,NA,Yes,
2011-03-29,60,2,100,NA,100,NA,Yes,
2011-03-30,61,2,70,70,90,0,Yes,
2011-03-30,62,2,30,25,25,5,Yes,
2011-03-30,63,2,80,NA,100,5,Yes,
2011-03-30,64,2,20,NA,100,5,Yes,
2011-03-30,65,2,40,40,100,NA,Yes,
2011-03-30,66,2,100,NA,75,0,Yes,
2011-03-30,67,2,100,NA,35,0,Yes,
2011-03-30,68,2,100,NA,NA,0,Yes,
2011-03-30,68,5,100,NA,45,NA,No,
2011-04-01,69,2,40,5,40,5,Yes,
2011-04-01,70,2,80,NA,100,NA,Yes,
2011-04-01,71,2,90,NA,100,NA,Yes,
2011-04-05,73,2,95,95,65,NA,Yes,
2011-03-29,83,2,80,NA,100,NA,Yes,
2011-03-29,84,2,80,NA,100,NA,Yes,
2011-03-29,84,5,NA,0,55,NA,No,
2011-03-30,85,2,10,0,50,NA,Yes,
2011-03-30,86,2,NA,0,25,NA,Yes,
2011-03-30,87,2,85,85,80,NA,Yes,
2011-03-30,87,5,85,85,80,NA,Yes,
2011-04-01,89,2,80,35,100,NA,Yes,
2011-04-01,90,2,5,0,35,NA,Yes,
2011-04-01,92,2,100,NA,100,NA,Yes,
2011-04-01,93,2,85,NA,100,NA,Yes,
2011-04-01,93,5,NA,0,40,NA,No,
2011-04-01,95,2,100,NA,100,NA,Yes,
2011-04-01,96,2,100,NA,100,NA,Yes,
2011-04-01,96,5,NA,NA,100,NA,No,All white (cannot tell if it is sunlight or blank image)
2011-05-24,1,1,100,NA,50,NA,Yes,
2011-05-24,2,1,100,NA,70,100,Yes,
2011-05-24,3,1,25,NA,100,NA,Yes,
2011-05-24,4,1,15,NA,100,NA,Yes,
2011-05-24,5,1,100,NA,60,85,Yes,
2011-05-24,6,1,100,NA,100,80,Yes,
2011-05-24,7,1,100,NA,100,NA,Yes,
2011-05-24,8,1,100,NA,95,NA,Yes,
2011-05-31,9,1,100,NA,70,50,Yes,
2011-05-31,10,1,30,NA,100,NA,Yes,
2011-05-31,11,1,100,NA,55,NA,Yes,
2011-05-31,12,1,100,NA,100,80,Yes,
2011-05-31,13,1,20,55,95,NA,Yes,
2011-05-31,14,1,100,NA,55,NA,Yes,
2011-05-31,15,1,100,NA,100,45,Yes,
2011-05-31,16,1,100,NA,100,0,Yes,
2011-05-31,17,1,100,NA,65,NA,Yes,
2011-05-31,18,1,100,NA,70,35,Yes,
2011-05-31,19,1,100,NA,30,NA,Yes,
2011-05-31,20,1,100,NA,50,25,No,
2011-05-31,21,1,65,NA,100,55,Yes,
2011-05-31,22,1,100,NA,45,85,Yes,
2011-05-31,23,1,100,NA,70,35,Yes,
2011-05-31,24,1,55,NA,100,55,Yes,
2011-06-01,25,1,90,NA,100,50,No,
2011-06-01,26,1,100,NA,65,NA,No,
2011-06-01,28,1,100,NA,65,5,Yes,
2011-06-01,29,1,100,NA,65,30,Yes,
2011-06-01,30,1,100,NA,85,NA,No,
2011-06-01,30,5,100,NA,35,NA,No,
2011-06-01,31,1,100,NA,80,NA,No,
2011-06-01,32,1,100,NA,95,75,No,
2011-05-31,34,1,NA,NA,NA,NA,No,Blank image (Blue screen)
2011-05-31,35,1,20,30,90,NA,Yes,
2011-05-31,36,1,100,NA,100,NA,No,
2011-05-31,38,1,55,75,95,NA,Yes,
2011-05-31,39,1,100,NA,100,NA,Yes,
2011-05-31,39,5,100,NA,55,NA,No,
2011-05-31,39,10,100,NA,100,NA,No,
2011-05-31,40,1,100,55,85,0,Yes,
2011-06-01,41,1,100,NA,95,NA,No,
2011-06-01,42,1,100,NA,75,50,Yes,
2011-06-01,43,1,100,NA,35,40,Yes,
2011-06-01,44,1,40,NA,100,45,Yes,
2011-05-31,45,1,25,10,25,NA,No,
2011-05-31,46,1,100,NA,55,40,Yes,
2011-05-31,47,1,NA,NA,NA,NA,No,Blank image (Blue screen)
2011-05-24,48,1,100,NA,30,25,Yes,
2011-05-24,51,1,100,NA,90,NA,No,
2011-05-24,51,5,100,NA,50,NA,No,
2011-05-24,51,10,NA,0,55,NA,No,
2011-05-24,52,1,100,NA,40,25,Yes,
2011-05-24,52,5,NA,NA,100,NA,No,
2011-05-24,53,1,100,NA,70,60,Yes,
2011-05-24,54,1,100,NA,70,NA,Yes,
2011-05-24,55,1,100,40,85,10,Yes,
2011-05-24,56,1,100,NA,85,45,Yes,
2011-05-31,57,1,60,60,35,50,Yes,
2011-05-31,58,1,100,NA,40,NA,Yes,
2011-05-31,59,1,100,40,40,NA,Yes,
2011-05-31,60,1,100,NA,55,NA,Yes,
2011-05-31,63,1,80,NA,100,15,Yes,
2011-05-31,64,1,100,NA,75,35,Yes,
2011-06-01,65,1,100,NA,70,NA,No,
2011-06-01,66,1,100,NA,45,NA,No,
2011-06-01,66,5,100,NA,30,NA,No,
2011-06-01,67,1,100,NA,100,95,Yes,
2011-06-01,68,1,100,NA,70,55,Yes,
2011-06-01,68,5,100,NA,90,NA,No,
2011-05-31,69,1,100,NA,75,NA,No,
2011-05-31,70,1,100,NA,85,NA,Yes,
2011-05-31,70,5,100,NA,85,NA,Yes,
2011-05-31,71,1,15,NA,100,NA,No,
2011-05-31,72,1,100,NA,55,55,Yes,
2011-05-24,73,1,90,NA,100,NA,No,
2011-05-24,74,1,100,NA,80,20,Yes,
2011-05-24,75,1,95,55,80,60,No,
2011-05-24,76,1,40,20,30,NA,Yes,
2011-05-24,77,1,0,0,5,5,Yes,
2011-05-24,78,1,65,60,45,NA,Yes,
2011-05-24,79,1,95,NA,100,NA,No,
2011-05-24,80,1,100,NA,90,NA,Yes,
2011-05-31,81,1,100,NA,80,80,Yes,
2011-05-31,82,1,100,NA,70,NA,No,
2011-05-31,83,1,95,NA,100,NA,No,
2011-05-31,83,5,NA,40,85,NA,No,
2011-05-31,84,1,100,NA,100,NA,No,
2011-05-31,85,1,95,90,75,NA,No,
2011-05-31,86,1,70,70,100,NA,No,
2011-05-31,87,1,100,NA,555,NA,Yes,
2011-05-31,89,1,100,NA,100,NA,Yes,
2011-05-31,90,1,30,30,55,NA,Yes,
2011-06-01,91,1,100,NA,85,NA,No,
2011-06-01,91,5,100,NA,100,50,Yes,
2011-06-01,92,1,100,NA,85,NA,No,
2011-06-01,93,1,100,NA,55,NA,No,
2011-06-01,93,5,NA,90,100,NA,No,
2011-05-31,94,1,100,NA,75,NA,No,
2011-05-31,94,5,100,NA,40,NA,No,
2011-05-31,95,1,60,NA,100,NA,Yes,
2011-05-31,96,1,100,NA,100,NA,Yes,
