date,tube,location,bottom of tape,top of soil,bottom of light,22 cm mark,visible number/label?,Notes
2009-06-05,1,1,100,NA,95,40,Yes,
2009-06-05,1,2,100,NA,45,NA,No,
2009-06-05,1,3,100,NA,20,NA,No,
2009-06-05,1,4,25,50,100,NA,No,
2009-06-05,1,5,NA,0,50,NA,No,
2009-06-05,2,1,100,NA,55,40,Yes,
2009-06-05,2,2,100,NA,55,40,Yes,
2009-06-05,2,3,100,NA,20,NA,No,
2009-06-05,2,4,100,NA,65,NA,No,
2009-06-05,2,5,100,NA,35,NA,No,
2009-06-05,2,6,100,NA,90,NA,No,
2009-06-05,2,7,100,NA,90,NA,No,
2009-06-05,2,8,100,NA,100,NA,No,
2009-06-05,2,9,100,NA,70,NA,No,
2009-06-05,2,10,100,NA,85,NA,No,
2009-06-05,2,11,100,NA,75,NA,No,
2009-06-05,2,12,100,NA,100,NA,No,
2009-06-05,2,13,45,80,100,NA,No,
2009-06-05,2,14,NA,0,80,NA,No,
2009-06-05,2,15,NA,0,NA,NA,No,
2009-06-05,2,16,NA,0,55,NA,No,
2009-06-05,3,1,100,NA,50,45,Yes,
2009-06-05,3,2,35,35,35,NA,Yes,
2009-06-05,4,1,100,NA,55,50,Yes,
2009-06-05,4,2,NA,0,NA,NA,No,
2009-06-05,5,1,100,NA,70,50,Yes,
2009-06-05,5,2,10,5,75,NA,No,
2009-06-05,5,3,NA,0,NA,NA,No,
2009-06-05,5,4,NA,0,15,NA,No,
2009-06-05,6,1,100,NA,100,45,Yes,
2009-06-05,6,2,5,0,30,NA,No,
2009-06-05,7,1,100,NA,70,50,Yes,
2009-06-05,7,2,30,20,35,NA,No,
2009-06-05,8,1,95,95,50,30,Yes,
2009-06-05,9,1,100,NA,80,NA,Yes,
2009-06-05,9,2,100,NA,30,NA,Yes,
2009-06-05,9,5,100,NA,80,NA,No,
2009-06-05,9,15,55,NA,100,NA,No,
2009-06-05,9,20,NA,0,NA,NA,No,
2009-06-05,10,1,100,NA,90,NA,No,
2009-06-05,10,2,30,20,30,NA,Yes,
2009-06-05,11,1,100,NA,50,40,Yes,
2009-06-05,11,2,NA,0,10,NA,No,
2009-06-05,12,1,100,NA,80,45,Yes,
2009-06-05,12,2,40,40,40,NA,No,
2009-06-05,13,1,100,NA,60,NA,Yes,
2009-06-05,13,2,5,5,5,NA,No,
2009-06-05,14,1,100,NA,85,NA,Yes,
2009-06-05,14,2,10,NA,100,NA,No,
2009-06-05,14,3,NA,10,30,NA,No,
2009-06-05,15,1,100,NA,70,55,Yes,
2009-06-05,15,2,100,NA,90,NA,No,
2009-06-05,15,3,100,NA,60,NA,No,
2009-06-05,15,4,100,NA,85,NA,No,
2009-06-05,15,5,70,60,80,NA,No,
2009-06-05,16,1,100,NA,65,50,Yes,
2009-06-05,16,2,15,15,15,NA,No,
2009-06-05,17,1,100,NA,80,50,Yes,
2009-06-05,17,2,100,NA,85,NA,No,
2009-06-05,17,3,100,NA,30,NA,No,
2009-06-05,17,4,100,NA,100,NA,No,
2009-06-05,17,5,100,NA,75,NA,No,
2009-06-05,17,6,100,NA,95,NA,No,
2009-06-05,17,7,100,NA,95,NA,No,
2009-06-05,17,8,100,NA,100,NA,No,
2009-06-05,17,9,30,65,100,NA,No,
2009-06-05,17,10,NA,0,65,NA,No,
2009-06-05,17,11,NA,0,50,NA,No,
2009-06-05,18,1,100,NA,70,55,Yes,
2009-06-05,18,2,100,NA,90,NA,Yes,
2009-06-05,18,3,100,NA,35,NA,No,
2009-06-05,18,4,100,NA,100,NA,No,
2009-06-05,18,5,100,NA,100,NA,No,
