date,tube,location,bottom of tape,top of soil,bottom of light,22 cm mark,visible number/label?,Notes
2010-05-28,9,1,100,NA,50,NA,Yes,
2010-05-28,10,1,100,NA,NA,100,Yes,
2010-05-28,11,1,100,NA,35,30,Yes,CKB added 22 cm mark 2015-03-18
2010-05-28,12,1,100,NA,75,40,Yes,
2010-05-28,12,5,80,0,NA,NA,No,
2010-05-28,13,1,100,NA,50,50,Yes,
2010-05-28,14,1,100,NA,100,NA,Yes,
2010-05-28,15,1,100,NA,90,5,Yes,
2010-05-28,16,1,100,NA,90,40,Yes,
2010-05-28,17,1,100,NA,100,50,Yes,
2010-05-28,18,1,100,NA,100,NA,Yes,
2010-05-28,18,5,100,NA,100,NA,No,
2010-05-28,19,1,100,NA,50,NA,Yes,
2010-05-28,20,1,100,NA,50,NA,Yes,
2010-05-27,33,1,60,95,100,NA,Yes,
2010-05-27,34,1,80,NA,100,NA,Yes,
2010-05-27,35,1,100,NA,100,NA,Yes,
2010-05-27,36,1,100,NA,100,NA,Yes,
2010-05-27,37,1,100,NA,100,NA,Yes,
2010-05-27,38,1,30,50,45,NA,Yes,
2010-05-27,39,1,100,NA,85,NA,Yes,
2010-05-27,40,1,100,NA,60,30,Yes,
2010-05-28,41,1,100,NA,75,15,Yes,
2010-05-28,41,5,60,90,90,NA,No,
2010-05-28,42,1,50,50,60,NA,Yes,
2010-05-28,43,1,100,NA,NA,45,Yes,
2010-05-28,44,1,100,NA,40,NA,Yes,
2010-05-28,45,1,100,NA,95,50,Yes,
2010-05-28,46,1,100,NA,10,10,Yes,
2010-05-28,47,1,100,NA,NA,10,Yes,
2010-05-28,48,1,100,NA,5,NA,Yes,
2010-05-28,49,1,100,NA,NA,40,Yes,
2010-05-28,51,1,100,NA,65,45,Yes,
2010-05-28,52,1,100,NA,NA,35,Yes,
2010-05-28,52,5,NA,NA,100,NA,No,
2010-05-28,53,1,100,NA,NA,55,Yes,
2010-05-28,54,1,100,NA,50,NA,Yes,
2010-05-28,55,1,100,NA,100,30,Yes,
2010-05-28,56,1,100,NA,NA,15,Yes,
2010-05-27,57,1,70,65,NA,NA,Yes,
2010-05-27,58,1,40,80,95,NA,Yes,
2010-05-27,59,1,100,NA,5,NA,Yes,
2010-05-27,60,1,95,55,95,NA,Yes,
2010-05-27,62,1,100,NA,70,45,Yes,
2010-05-27,63,1,60,95,95,50,Yes,
2010-05-27,64,1,100,NA,55,25,Yes,
2010-05-28,65,1,40,95,90,NA,Yes,
2010-05-28,66,1,100,NA,NA,15,Yes,
2010-05-28,67,1,40,40,NA,45,Yes,
2010-05-28,69,1,20,5,NA,NA,Yes,
2010-05-28,70,1,60,NA,100,NA,Yes,
2010-05-28,71,1,95,NA,100,NA,Yes,
2010-05-28,72,1,100,NA,NA,NA,Yes,
2010-05-28,73,1,25,80,55,NA,Yes,
2010-05-28,74,1,95,80,45,10,Yes,
2010-05-28,75,1,95,95,50,5,Yes,
2010-05-28,76,1,70,70,95,NA,Yes,
2010-05-28,77,1,100,NA,NA,50,Yes,
2010-05-28,78,1,100,NA,35,20,Yes,
2010-05-28,79,1,100,NA,90,5,Yes,
2010-05-28,80,1,100,NA,NA,20,Yes,
2010-05-27,81,1,100,NA,95,NA,No,
2010-05-27,82,1,50,NA,100,NA,Yes,
2010-05-27,82,5,NA,0,75,NA,No,
2010-05-27,83,1,55,NA,100,NA,Yes,
2010-05-27,83,5,NA,0,35,NA,No,
2010-05-27,84,1,100,NA,NA,NA,Yes,
2010-05-27,84,5,NA,0,80,NA,No,
2010-05-27,85,1,40,5,NA,NA,Yes,
2010-05-27,86,1,15,85,80,NA,Yes,
2010-05-27,87,1,100,NA,NA,NA,Yes,
2010-05-27,88,1,100,NA,NA,NA,Yes,
2010-05-28,89,1,45,NA,100,NA,Yes,
2010-05-28,90,1,55,NA,100,NA,Yes,
2010-05-28,91,1,100,NA,NA,NA,Yes,
2010-05-28,92,1,100,NA,100,NA,Yes,
2010-05-28,93,1,60,NA,100,NA,Yes,
2010-05-28,94,1,100,NA,NA,20,Yes,
2010-05-28,95,1,100,NA,70,30,Yes,
2010-05-28,96,1,100,NA,100,NA,Yes,
2010-05-28,96,5,NA,NA,100,NA,No,
2010-07-26,2,1,50,50,NA,30,Yes,
2010-07-26,6,1,100,NA,NA,70,Yes,
2010-07-26,7,1,75,70,10,NA,Yes,
2010-07-26,8,1,100,NA,40,NA,Yes,
2010-07-22,9,1,100,NA,50,NA,Yes,
2010-07-23,10,1,100,NA,40,NA,Yes,
2010-07-23,10,5,NA,40,85,NA,No,
2010-07-23,11,1,100,NA,35,NA,Yes,
2010-07-23,12,1,100,NA,85,15,Yes,
2010-07-23,13,1,100,NA,50,45,Yes,
2010-07-23,14,1,100,NA,NA,NA,Yes,
2010-07-23,15,1,100,NA,80,60,Yes,
2010-07-23,16,1,100,NA,NA,50,Yes,
2010-07-22,17,1,100,NA,NA,45,Yes,
2010-07-22,18,1,100,NA,NA,90,Yes,
2010-07-22,18,5,100,NA,100,NA,No,
2010-07-22,19,1,100,NA,NA,70,Yes,
2010-07-22,20,1,100,NA,50,NA,Yes,
2010-07-22,21,1,100,NA,NA,NA,No,
2010-07-22,21,5,10,5,55,NA,No,
2010-07-22,22,1,100,NA,50,40,Yes,
2010-07-22,23,1,100,NA,NA,0,Yes,
2010-07-22,24,1,100,NA,55,50,Yes,
2010-07-26,25,1,90,NA,100,15,Yes,
2010-07-26,25,5,NA,15,45,NA,No,
2010-07-26,26,1,100,NA,NA,NA,No,
2010-07-26,27,1,100,NA,NA,NA,Yes,
2010-07-26,28,1,100,NA,NA,85,No,
2010-07-26,29,1,75,75,NA,NA,Yes,
2010-07-26,30,1,100,NA,45,55,Yes,
2010-07-26,31,1,100,NA,30,15,Yes,
2010-07-26,32,1,100,NA,NA,50,Yes,
2010-07-23,33,1,95,NA,100,NA,Yes,
2010-07-23,34,1,100,NA,NA,NA,Yes,
2010-07-23,35,1,100,NA,55,NA,Yes,
2010-07-23,36,1,100,NA,85,NA,Yes,
2010-07-23,37,1,100,NA,90,NA,Yes,
2010-07-23,38,1,65,90,95,NA,Yes,
2010-07-23,39,1,100,NA,25,NA,Yes,
2010-07-23,39,5,100,NA,NA,NA,No,
2010-07-23,39,10,100,NA,NA,NA,No,
2010-07-23,40,1,100,NA,75,65,Yes,
2010-07-22,41,1,100,NA,NA,NA,Yes,
2010-07-22,41,5,45,65,95,NA,Yes,
2010-07-22,42,1,100,NA,NA,50,Yes,
2010-07-22,43,1,100,NA,NA,35,Yes,
2010-07-22,44,1,15,30,95,25,Yes,
2010-07-22,45,1,100,NA,90,45,Yes,
2010-07-22,46,1,100,NA,45,40,Yes,
2010-07-22,47,1,100,NA,NA,NA,Yes,
2010-07-22,48,1,100,NA,NA,NA,Yes,
2010-07-23,49,1,100,NA,NA,45,Yes,
2010-07-23,51,1,100,NA,75,45,Yes,
2010-07-23,52,1,100,NA,NA,55,Yes,
2010-07-23,52,5,NA,NA,100,NA,No,
2010-07-23,53,1,100,NA,NA,55,Yes,
2010-07-23,54,1,100,NA,55,40,Yes,
2010-07-23,55,1,NA,NA,NA,NA,NA,Blank Image (Blue screen)
2010-07-23,57,1,100,NA,NA,NA,Yes,
2010-07-23,58,1,100,NA,NA,NA,No,
2010-07-23,59,1,100,NA,100,NA,Yes,
2010-07-23,60,1,100,NA,NA,NA,Yes,
2010-07-23,61,1,100,NA,NA,50,Yes,
2010-07-23,62,1,100,NA,75,30,Yes,
2010-07-23,63,1,75,NA,95,60,Yes,
2010-07-23,64,1,100,NA,100,50,Yes,
2010-07-22,66,1,100,NA,NA,50,Yes,
2010-07-22,69,1,45,0,100,NA,Yes,
2010-07-23,70,1,100,NA,NA,NA,Yes,
2010-07-23,71,1,100,NA,70,NA,Yes,
2010-07-23,72,1,100,NA,85,NA,Yes,
2010-07-23,73,1,100,NA,NA,50,Yes,
2010-07-23,74,1,NA,NA,NA,NA,NA,Blank Image (Blue screen)
2010-07-23,75,1,100,NA,NA,55,No,
2010-07-23,76,1,100,NA,NA,50,No,
2010-07-23,77,1,100,NA,65,40,Yes,
2010-07-23,78,1,100,NA,70,55,Yes,
2010-07-23,79,1,100,NA,85,60,No,
2010-07-23,80,1,100,NA,40,45,Yes,
2010-07-23,81,1,100,NA,100,NA,No,
2010-07-23,82,1,100,NA,80,NA,No,
2010-07-23,83,1,100,NA,85,NA,No,
2010-07-23,84,1,100,NA,NA,NA,No,
2010-07-23,85,1,100,NA,NA,NA,No,
2010-07-23,86,1,75,75,20,NA,No,
2010-07-23,87,1,100,NA,35,NA,Yes,
2010-07-23,88,1,100,NA,90,NA,No,
2010-07-23,88,5,25,NA,100,NA,Yes,
2010-07-22,89,1,100,NA,45,NA,Yes,
2010-07-22,90,1,70,80,95,NA,Yes,
2010-07-22,91,1,100,NA,NA,NA,Yes,
2010-07-22,92,1,100,NA,25,NA,Yes,
2010-07-22,93,1,100,NA,100,NA,Yes,
2010-07-22,93,5,NA,0,95,NA,No,
2010-07-22,94,1,100,NA,NA,55,Yes,
2010-07-22,95,1,100,NA,NA,55,Yes,
2010-07-22,96,1,100,NA,85,NA,Yes,
2010-07-22,96,5,NA,NA,100,NA,No,
2010-08-12,1,1,100,NA,NA,55,No,
2010-08-12,2,1,100,NA,NA,50,Yes,
2010-08-12,4,1,40,NA,100,NA,No,
2010-08-12,5,1,75,75,NA,NA,Yes,
2010-08-12,6,1,100,NA,10,85,Yes,
2010-08-12,7,1,100,NA,85,NA,Yes,
2010-08-12,8,1,100,NA,55,NA,Yes,
2010-08-18,9,1,100,NA,40,NA,Yes,
2010-08-18,10,1,100,NA,80,90,Yes,
2010-08-18,11,1,100,NA,NA,NA,Yes,
2010-08-18,12,1,100,NA,95,0,Yes,
2010-08-18,14,1,100,NA,45,NA,Yes,
2010-08-18,15,1,100,NA,35,NA,Yes,
2010-08-18,16,1,100,NA,85,40,Yes,
2010-08-18,17,1,100,NA,40,30,Yes,
2010-08-18,18,1,100,NA,80,NA,No,
2010-08-18,18,5,100,NA,30,NA,No,
2010-08-18,19,1,100,NA,50,NA,No,
2010-08-18,20,1,100,NA,35,NA,Yes,
2010-08-18,21,1,100,NA,50,30,Yes,
2010-08-18,22,1,100,NA,40,30,Yes,
2010-08-18,23,1,100,NA,45,30,Yes,
2010-08-18,24,1,100,NA,40,30,Yes,
2010-08-18,26,1,100,NA,50,25,Yes,
2010-08-18,27,1,100,NA,45,NA,Yes,
2010-08-12,29,1,65,60,NA,NA,Yes,
2010-08-18,32,1,100,NA,55,25,Yes,
2010-08-18,33,1,100,NA,60,NA,Yes,
2010-08-17,34,1,100,NA,80,NA,Yes,
2010-08-17,35,1,100,NA,50,NA,Yes,
2010-08-17,36,1,100,NA,NA,NA,Yes,
2010-08-17,37,1,100,NA,NA,NA,No,
2010-08-17,37,5,5,50,65,NA,No,
2010-08-17,38,1,65,85,95,NA,Yes,
2010-08-17,39,1,100,NA,75,NA,Yes,
2010-08-17,39,5,100,NA,NA,NA,No,
2010-08-17,39,10,100,NA,NA,NA,No,
2010-08-17,40,1,100,NA,NA,90,No,
2010-08-17,41,1,100,NA,NA,NA,No,
2010-08-17,41,5,25,20,NA,NA,No,
2010-08-17,42,1,100,NA,5,50,Yes,
2010-08-17,43,1,100,NA,35,35,Yes,
2010-08-17,44,1,55,NA,100,45,Yes,
2010-08-17,45,1,100,NA,65,25,Yes,
2010-08-17,46,1,100,NA,70,30,Yes,
2010-08-17,47,1,100,NA,75,45,No,
2010-08-17,48,1,100,NA,80,50,Yes,
2010-08-17,49,1,100,NA,NA,40,Yes,
2010-08-17,51,1,100,NA,35,30,Yes,
2010-08-17,52,1,100,NA,60,40,Yes,
2010-08-17,52,5,NA,NA,100,NA,No,
2010-08-17,53,1,100,NA,NA,50,Yes,
2010-08-17,54,1,100,NA,NA,35,Yes,
2010-08-17,55,1,100,NA,NA,50,Yes,
2010-08-17,56,1,100,NA,NA,40,Yes,
2010-08-17,57,1,100,NA,NA,NA,Yes,
2010-08-17,58,1,100,NA,75,NA,No,
2010-08-17,59,1,100,NA,100,NA,Yes,
2010-08-17,60,1,100,NA,NA,NA,No,
2010-08-17,61,1,100,NA,NA,45,Yes,
2010-08-17,62,1,100,NA,100,35,Yes,
2010-08-17,63,1,80,NA,100,70,Yes,
2010-08-17,64,1,100,NA,75,50,Yes,
2010-08-17,69,1,100,NA,NA,NA,No,
2010-08-17,70,1,100,NA,NA,NA,Yes,
2010-08-17,71,1,100,NA,50,NA,Yes,
2010-08-17,72,1,100,NA,55,NA,Yes,
2010-08-12,73,1,100,NA,NA,NA,No,
2010-08-12,73,5,NA,0,100,NA,No,
2010-08-12,73,10,NA,0,65,NA,No,
2010-08-12,74,1,95,80,100,NA,Yes,
2010-08-12,75,1,100,NA,NA,60,No,
2010-08-12,76,1,100,NA,70,55,No,
2010-08-12,77,1,55,55,100,NA,Yes,
2010-08-12,78,1,100,NA,NA,45,Yes,
2010-08-12,79,1,100,NA,80,60,No,
2010-08-12,80,1,100,NA,NA,55,No,
2010-08-17,81,1,100,NA,45,NA,No,
2010-08-17,82,1,100,NA,65,NA,No,
2010-08-17,83,1,100,NA,80,NA,No,
2010-08-17,83,5,NA,0,5,NA,No,
2010-08-17,84,1,100,NA,100,NA,No,
2010-08-17,85,1,100,NA,70,NA,No,
2010-08-17,86,1,75,75,60,NA,No,
2010-08-17,87,1,100,NA,100,NA,Yes,
2010-08-17,88,1,100,NA,40,NA,Yes,
2010-08-17,89,1,95,NA,100,NA,Yes,
2010-08-17,91,1,100,NA,NA,NA,Yes,
2010-08-17,92,1,100,NA,85,NA,Yes,
2010-08-17,93,1,100,NA,85,NA,Yes,
2010-08-17,94,1,100,NA,NA,50,Yes,
2010-08-17,95,1,100,NA,65,55,Yes,
2010-08-17,96,1,100,NA,85,NA,Yes,
2010-08-17,96,5,NA,NA,100,NA,No,
2010-10-08,1,1,65,NA,100,45,Yes,
2010-10-08,2,1,100,NA,80,10,Yes,
2010-10-08,3,1,100,NA,60,NA,Yes,
2010-10-08,4,1,100,NA,100,45,Yes,
2010-10-08,5,1,100,NA,35,10,Yes,
2010-10-08,6,1,100,NA,50,100,Yes,
2010-10-08,7,1,100,NA,25,NA,Yes,
2010-10-08,8,1,100,NA,55,NA,Yes,
2010-10-07,9,1,100,NA,NA,NA,Yes,
2010-10-07,10,1,100,NA,90,NA,Yes,
2010-10-07,11,1,100,NA,55,NA,Yes,
2010-10-07,12,1,100,NA,60,5,Yes,
2010-10-07,13,1,100,NA,80,40,Yes,
2010-10-07,14,1,100,NA,90,NA,Yes,
2010-10-07,15,1,100,NA,70,NA,Yes,
2010-10-07,16,1,100,NA,100,40,Yes,
2010-10-08,17,1,100,NA,95,40,Yes,
2010-10-08,18,1,100,NA,45,NA,Yes,
2010-10-08,18,5,100,NA,100,NA,No,
2010-10-08,19,1,100,NA,20,100,Yes,
2010-10-08,20,1,100,NA,40,NA,Yes,
2010-10-08,21,1,100,NA,100,NA,Yes,
2010-10-08,22,1,100,NA,NA,NA,Yes,
2010-10-08,23,1,100,NA,45,30,Yes,
2010-10-08,24,1,100,NA,60,40,Yes,
2010-10-07,33,1,100,NA,95,NA,Yes,
2010-10-07,34,1,75,NA,100,NA,Yes,
2010-10-07,35,1,100,NA,50,NA,Yes,
2010-10-07,36,1,100,NA,85,NA,Yes,
2010-10-07,37,1,100,NA,95,NA,Yes,
2010-10-07,38,1,65,95,100,NA,Yes,
2010-10-07,39,1,100,NA,55,NA,Yes,
2010-10-07,39,5,100,NA,NA,NA,No,
2010-10-07,39,10,100,NA,65,NA,No,
2010-10-07,40,1,100,NA,50,NA,Yes,
2010-10-14,41,1,100,NA,NA,NA,Yes,
2010-10-14,41,5,30,40,95,NA,Yes,
2010-10-14,42,1,100,NA,NA,10,Yes,
2010-10-14,43,1,100,NA,35,35,Yes,
2010-10-14,44,1,20,NA,100,20,Yes,
2010-10-14,45,1,100,NA,85,40,Yes,
2010-10-14,46,1,100,NA,30,30,Yes,
2010-10-14,47,1,100,NA,55,30,Yes,
2010-10-14,48,1,100,NA,NA,NA,Yes,
2010-10-15,49,1,100,NA,80,45,Yes,
2010-10-15,50,1,100,NA,35,0,Yes,
2010-10-15,51,1,100,NA,35,35,Yes,
2010-10-15,52,1,100,NA,NA,5,Yes,
2010-10-15,52,5,NA,NA,100,NA,No,
2010-10-15,53,1,100,NA,100,NA,Yes,
2010-10-15,54,1,100,NA,100,40,Yes,
2010-10-15,55,1,100,NA,NA,10,Yes,
2010-10-15,56,1,100,NA,35,15,Yes,
2010-10-07,57,1,100,NA,85,NA,Yes,
2010-10-07,58,1,55,55,100,NA,Yes,
2010-10-07,59,1,100,NA,30,NA,Yes,
2010-10-07,60,1,100,NA,80,NA,Yes,
2010-10-07,61,1,100,NA,NA,50,Yes,
2010-10-07,62,1,100,NA,50,35,Yes,
2010-10-07,63,1,55,NA,85,40,Yes,
2010-10-07,64,1,100,NA,45,5,Yes,
2010-10-14,69,1,75,5,75,NA,Yes,
2010-10-14,70,1,80,NA,100,NA,Yes,
2010-10-14,71,1,90,NA,100,NA,Yes,
2010-10-14,72,1,70,65,90,NA,Yes,
2010-10-14,73,1,100,NA,20,NA,Yes,
2010-10-14,74,1,55,50,45,NA,Yes,
2010-10-14,75,1,95,10,40,0,Yes,
2010-10-14,76,1,85,75,55,NA,Yes,
2010-10-14,77,1,100,NA,NA,55,Yes,
2010-10-14,78,1,90,85,100,0,Yes,
2010-10-14,79,1,100,NA,NA,NA,Yes,
2010-10-14,80,1,100,NA,20,NA,Yes,
2010-10-07,81,1,70,NA,100,NA,Yes,
2010-10-07,82,1,100,NA,NA,20,No,
2010-10-07,83,1,75,NA,100,NA,Yes,
2010-10-07,84,1,NA,NA,100,NA,No,
2010-10-07,85,1,100,NA,50,NA,No,
2010-10-07,86,1,25,80,80,NA,Yes,
2010-10-07,87,1,100,NA,20,NA,Yes,
2010-10-07,88,1,60,50,100,NA,Yes,
2010-10-14,89,1,80,NA,100,NA,Yes,
2010-10-14,90,1,80,80,50,NA,Yes,
2010-10-08,91,1,100,NA,NA,NA,Yes,
2010-10-08,92,1,100,NA,100,NA,Yes,
2010-10-14,93,1,100,NA,100,NA,Yes,
2010-10-14,93,5,NA,0,100,NA,No,
2010-10-14,94,1,100,NA,75,0,Yes,
2010-10-14,95,1,100,NA,NA,40,Yes,
2010-10-14,96,1,100,NA,75,NA,Yes,
2010-10-14,96,5,NA,NA,100,NA,No,
